DARTMOUTH-STRETE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX836460,Long,-3.6353,Lat,50.30292,Elevation,200,ft,,,,,,,,,,,,
Station no,RR4631,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,7.05,1.01,6.59,1.85,5.42,1.04,1.76,2.59,3.81,4.92,3.1,6.88,,,
February,,,,,,1.99,4.85,2.5,2.24,5,3.02,4.49,1.78,4.7,4.14,4.91,0.38,,,
March,,,,,,0.93,4.65,2.13,2.27,0.76,2.4,3.87,1.9,1.27,3.14,0.97,3.8,,,
April,,,,,,1.84,2.97,3.47,4.63,4.55,2.24,0.86,5.51,0.61,1.3,2.63,2.51,,,
May,,,,,,2.3,0.41,2.13,3.58,2.61,0.5,0.75,1.29,2.79,1.39,2.82,3.21,,,
June,,,,,,3.74,1.16,0.97,1.84,6.92,0.78,3.09,4.04,3.63,1.07,1.48,0.59,,,
July,,,,,,3.29,0.96,2.66,1.52,4.19,3.22,1.72,3.79,2.04,2.48,0.74,3.44,,,
August,,,,,,2.11,4.18,3.74,3,6.45,0.48,5.33,2.11,1.37,1.38,1.02,1.59,,,
September,,,,,,4.79,4.45,2.58,2.8,4.17,2.21,2.25,5.37,4.55,2.21,3.47,2.2,,,
October,,,,,,6.27,3.48,2.8,3.46,1.29,5.78,2.07,8.16,3.07,1.28,5.26,5.14,,,
November,,,,,,5.59,4.99,7.3,3.83,0.5,4.64,4.04,5.8,5.35,2.06,4.73,3.32,,,
December,,,,,,1.66,7.67,2.22,2.71,2.04,6.77,3.75,5.37,1.56,5.46,2.14,7.99,,,
Total,,,,,,41.56,40.78,39.09,33.73,43.9,33.08,33.98,47.71,34.75,30.83,33.27,41.05,,,
,,,,,,,,,,,,,,,,,,,,
House name Sil Amchadha later renamed Homelands,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NB Annual values rejected from survey map 1929,,,,,,,,,,,,,,,,,,,,
