GUNNERSBURY-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ198783,Long,-0.27581745,Lat,51.490964,Elevation,35,ft.,,,,,,,,,,,,
Station no,RR6220,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.32,2.26,2.14,1.57,,1.39,0.94,0.75,2.29,1.7,0.5,1.39,2.76,1.56,0.72,1.87,,
February,,2.21,1.22,3.26,1.33,2.95,0.55,0.53,0.78,1.78,0.85,0.02,1.48,2.47,1.68,0.07,0.25,2.39,,
March,,1.88,1.35,0.93,1.24,1.6,1.3,1.39,3.15,1.31,1.61,1.2,1.04,0.31,1.05,1.17,2.95,3.52,,
April,,0.5,2.62,1.44,1.51,1.99,1.35,1.39,1.97,2.14,1.34,0.99,0.86,0.24,1.43,2.27,0.25,1.35,,
May,,0.99,1,1.64,0.65,2.37,4.11,1.4,1.13,2.72,1.18,2.3,1.47,1.01,1.52,0.23,0.13,1.14,,
June,,1.65,2.39,1.34,1.82,1.73,0.97,1.13,1.84,1.47,3.19,1.45,2.53,0.75,1.45,0.23,1.61,2.2,,
July,,1.89,2.52,2.08,2.41,0.47,2.5,0.67,4.71,3.29,4.13,2.59,2.02,2.01,3.21,3.99,0.9,0.97,,
August,,4.32,1.13,0.6,0.97,1.09,0.66,2.71,2.8,2.33,1.74,4.04,2.99,1.54,2.62,3.65,1.76,2.83,,
September,,2.13,2.12,3.61,1.71,4.24,1.97,2.01,0.99,1.55,0.64,1.01,2.07,0.98,1.1,1.59,5.18,2.14,,
October,,2.29,6.02,1.91,1.06,3.45,1.86,1.22,1.17,3.91,0.93,5.65,3.49,4.16,3.87,2.81,2.37,0.54,,
November,,2.32,2.19,2.3,1.68,3.02,2.84,3.19,3.83,0.77,1.62,1.99,2.66,1.71,2.59,3.33,1.01,0.93,,
December,,2.37,1.93,0.75,2.44,1.01,3.42,1.36,1.32,1.25,0.66,3.05,1.14,2.29,2.01,1.97,3.4,1.96,,
Total,,,25.81,22.12,18.96,25.49,,18.39,24.63,23.27,20.18,25.99,22.25,18.86,25.29,22.87,20.53,21.84,,
,,,,,,,,,,,,,,,,,,,,
NGR is Gunnersbury Station altitudes match. Not sure if gauge is at station or just near it.,,,,,,,,,,,,,,,,,,,,
