"PERTH (WELLSHILL CEMETERY) MWR",,,,,,,,,,,,
Grid ref,NO101239,Long,-3.458097,Lat,56.398770,,,,,,,
Station no,5546,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,2.08,0.55,2.26,1.75,3.13,3.93,1.79,1.06,4.22,,
February,3.28,0.51,0.80,3.31,1.95,1.16,3.67,2.52,0.75,2.76,,
March,1.65,1.80,0.72,2.49,1.33,1.88,2.03,2.69,1.55,2.10,,
April,2.03,1.50,2.03,1.52,0.85,0.80,0.72,1.23,2.41,2.18,,
May,1.74,2.35,1.67,5.32,2.10,0.96,1.78,2.42,0.69,3.16,,
June,2.21,2.35,1.74,2.11,1.74,2.48,0.93,2.97,1.72,2.06,,
July,2.99,2.21,3.98,2.81,1.00,4.03,4.23,5.45,4.25,2.87,,
August,4.08,2.74,1.71,3.64,0.84,4.84,5.28,4.18,0.53,4.02,,
September,2.29,0.90,2.54,3.78,1.49,4.35,1.61,2.75,0.56,2.52,,
October,0.70,2.45,1.16,6.24,2.17,2.10,2.01,2.05,2.25,5.66,,
November,6.88,1.61,3.67,4.81,1.89,0.55,1.29,1.10,4.82,3.54,,
December,2.89,2.45,3.67,3.91,5.82,3.83,4.68,6.06,6.10,2.93,,
Total,34.22,22.95,24.24,42.20,22.93,30.11,32.16,35.21,26.69,38.02,,
Calc annual,34.22,22.95,24.24,42.20,22.93,30.11,32.16,35.21,26.69,38.02,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
