PERTH LAURELBANK,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 124 243,Long,-3.420199,Lat,56.403247,Elevation,85,ft,,,,,,,,,,,,
Station no,5546,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,2.64,2.92,0.48,2.88,5.04,2.07,,,,,
February,,,,,,,,,,0.86,2.22,2.03,2.55,0.95,3.62,,,,,
March,,,,,,,,,,3.87,1.49,0.88,2.62,5.04,3.89,,,,,
April,,,,,,,,,,3.16,3.83,0.9,0.22,2.22,0.8,,,,,
May,,,,,,,,,1.86,3.09,1.08,0.92,1.29,2.75,1.56,,,,,
June,,,,,,,,,1.68,1.13,1.27,1.56,3.14,2.02,0.37,,,,,
July,,,,,,,,,2.1,3.38,4.66,1.63,1.99,0.7,2.83,,,,,
August,,,,,,,,,2.93,1.91,6.8,1.31,3.82,0.83,2.05,,,,,
September,,,,,,,,,3.96,1.49,0.76,1.05,2.19,1.84,0.63,,,,,
October,,,,,,,,,2.32,4.28,2.26,1.92,3.24,1.53,2.38,,,,,
November,,,,,,,,,2.4,0.53,3.26,3.75,2.05,2.27,4.12,,,,,
December,,,,,,,,,2.07,3.36,2.62,4.01,4.11,1.22,,,,,,
Total,,,,,,,,,,29.7,33.17,20.44,30.1,26.41,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge move Dec 1914,,,,,,,,,,,,,,,,,,,,
Move to Wellshill Cemetry approx 1 mile,,,,,,,,,,,,,,,,,,,,
1914 Dec and T deleted estimated,,,,,,,,,,,,,,,,,,,,
