"PERTH LAURELBANK",,,,,,,,,,,,
Grid ref,NO124243,Long,-3.420981,Lat,56.402795,,,,,,,
Station no,5546,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.64,,
February,,,,,,,,,,0.86,,
March,,,,,,,,,,3.87,,
April,,,,,,,,,,3.16,,
May,,,,,,,,,1.86,3.09,,
June,,,,,,,,,1.68,1.13,,
July,,,,,,,,,2.10,3.38,,
August,,,,,,,,,2.93,1.91,,
September,,,,,,,,,3.96,1.49,,
October,,,,,,,,,2.32,4.28,,
November,,,,,,,,,2.40,0.53,,
December,,,,,,,,,2.07,3.36,,
Total,,,,,,,,,,29.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.32,29.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
