"SKENE STREET, ABERDEEN",,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 93186 06107,Long,-2.114242,Lat,57.145801,Elevation,98,ft,,,,,,,,,,,,
Station no,RR1530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4,3.08,4.3,1.51,1.62,2.93,2.59,1.34,3.05,1.23,3.95,1.64,2.01
February,,,,,,,,1.51,1.78,1.32,3.14,3.43,4.74,1.45,1.79,1.51,4.7,2.76,0.77,1.91
March,,,,,,,,2.35,1.76,1.89,0.89,0.59,2.03,2.13,1.87,2.54,4.69,2.12,2.09,2.17
April,,,,,,,,3.17,2.67,2.63,1.29,5.14,2.6,0.87,0.99,1.46,2.72,3.32,1.05,3.72
May,,,,,,,,2.64,1.34,1.51,1.49,0.7,3.11,2.78,1.27,1.78,0.54,2.97,2.46,3.18
June,,,,,,,1.45,1.13,0.54,2.24,0.92,1.11,3.51,0.98,0.97,3.44,1.11,3.91,1.79,2.67
July,,,,,,,3.36,3.28,0.64,1,3.45,3.32,1.97,4.32,2.71,3.72,1.7,3.29,0.57,3.72
August,,,,,,,3.23,3.54,7.12,1.26,0.84,2.59,3.3,4.8,6.12,2.21,1.62,6.89,3.82,4.18
September,,,,,,,2.97,2.08,4.15,5.47,2.1,2.03,6.4,3.71,2.37,6.11,3.27,1.9,3.52,3.58
October,,,,,,,2.67,2.18,2.02,6.36,3.09,3.65,4.62,2.8,2.53,3.92,2.87,2.34,2.57,1.21
November,,,,,,,2.09,0.97,1.61,1.86,2.47,2.34,6.79,4.41,3.37,3.83,5.15,5.48,3.79,2.62
December,,,,,,,3.2,2.44,6.21,2.8,5.4,1.63,3.44,1.83,2.19,1.87,9.87,2.96,4.86,1.33
Total,,,,,,,,29.29,32.92,32.64,26.59,28.15,45.44,32.67,27.52,35.44,39.47,41.89,28.93,32.3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
