ABERDEEN (SKENE ST GARDEN),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 93186 06107,Long,-2.114242,Lat,57.145801,Elevation,95,ft,,,,,,,,,,,,
Station no,RR1530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,6.17,3.41,4.76,1.76,1.77,2.82,2.5,1.1,3.55,1.17,4.05,1.44,1.61
February,,,,,,,,1.67,2.03,1.38,3.41,3.82,4.49,1.46,1.74,1.64,4.43,2.9,0.66,1.84
March,,,,,,,,2.6,1.93,1.87,0.96,0.46,1.84,2.13,1.62,2.56,4.83,2.07,1.7,1.96
April,,,,,,,,3.41,2.53,2.67,1.27,5.34,2.7,0.8,0.9,1.38,2.75,3.4,0.83,3.33
May,,,,,,,1.68,3,1.39,1.52,1.6,0.64,3.14,2.58,1.26,1.53,0.45,2.84,2.1,2.75
June,,,,,,,1.5,1.77,0.52,2.23,0.87,1.06,3.4,0.97,0.8,3.28,0.99,3.72,1.54,2.29
July,,,,,,,3.38,3.49,0.67,1.07,3.45,3.15,1.89,4.23,2.45,3.36,1.56,2.95,0.38,3.75
August,,,,,,,3.2,3.53,7.55,1.28,0.83,2.4,3.33,4.63,6.08,2.07,1.46,6.85,3.35,4.07
September,,,,,,,3.09,2.2,3.47,5.31,2.23,2.07,6.5,3.57,2.35,5.89,2.99,1.79,3.22,3.36
October,,,,,,,2.9,2.32,2.08,6.78,3.24,3.62,4.25,2.67,2.37,4.03,3.09,2.22,2.34,0.97
November,,,,,,,2.29,1.06,1.76,1.62,2.65,2.44,6.3,4.62,3.5,3.85,5.06,5.11,3.67,2.61
December,,,,,,,3.55,2.76,6.9,3.27,4.54,1.63,3.28,1.8,2.78,1.78,9.56,2.86,4.12,1.11
Total,,,,,,,,33.98,34.24,33.76,26.81,28.4,43.94,31.96,26.95,34.92,38.34,40.76,25.35,29.65
,,,,,,,,,,,,,,,,,,,,
40 yds S of Lower G at Grammar school,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
