HAVANT FARLINGTON PUMPING STN (monthly gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU690059,Long,-1.021244,Lat,50.848514,Elevation,77,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.36,1.06,1.01,2.4,1.87,0.95,1.55,3.98,2.47,0.85,2.54,0.5,2.62,2.99,,,1.9,3.28,0.97,6.76,0.61,0.84,0.76,2.58,0.88,3.3,3.8,0.52,4.5,0.97,1.25,3.2,5.15,2.91,3.28,4.41,1.46,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.72,0.74,1.86,0.92,0.02,0.77,2.67,1.7,0.05,0.28,3.17,1.7,2.73,4.49,,,1.29,3.3,0.5,2.73,0.97,0.89,0.35,2.7,1.47,1.89,1.15,3.44,4.02,3.7,1.27,1.03,2.7,0.46,0.43,2.81,4.52,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,0.81,2.91,1.35,0.82,1.79,0.7,0.34,1.14,1.61,2.9,3.71,0.53,0.47,0.53,,,2.06,0.97,3.62,1.12,0.47,2.13,3.39,0.96,1.61,3.25,2.41,3.82,0.88,2.98,2.4,0.88,4.55,2.03,1.03,1.68,1.67,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.05,1.35,1.91,2.4,0.84,0.74,0.04,1.52,2.16,0.4,1.68,1.13,2.45,1.42,,,2.42,1.28,1.48,0.78,3.79,2.11,1.42,2.11,1.02,0.08,2.21,1.16,1.04,0.69,1.4,1.95,1.6,2.24,0.95,3.31,2.99,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.83,1.36,2.46,1.94,2.02,0.84,0.7,0.79,0.17,0.57,1.54,3.4,0.76,0.75,,,2.65,4.18,0.35,2.18,2.56,1.41,1.51,1.5,2.75,1.18,2.8,0.95,3.8,1.42,2.31,1.15,0.46,1.22,1.3,0.74,2.62,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.56,4.88,1.69,2.67,1.43,1.68,1.06,1.55,0.7,1.14,3.4,1.78,0.95,2.62,,,2.11,1.12,3.63,1.54,1.99,0.69,3.64,1.99,1.63,2.78,0.15,1.67,1.08,1.73,3,0.75,0.65,2.04,0.06,1.56,0.4,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.92,5.45,2.24,3.4,1.71,3.02,3.78,4.9,3.46,0.74,1.21,0.6,1.68,1.1,,,2.3,1.74,0.21,0.38,1.05,1.47,2.89,2.65,0.86,1.77,1.44,3.44,2.4,0.77,2.4,2.49,1.01,5.28,0.22,3.07,0.7,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.15,2,1.5,2.9,4.89,2.87,1.4,1.55,2.57,1.76,3.56,1.18,0.52,1.68,,,3.6,2.75,2.07,1.06,1.73,2.76,3.04,2.77,1.08,7.52,2.06,1.53,1.25,1.93,4.68,2.48,2.54,1.28,2.15,3.27,1.88,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.4,0.54,0.5,0.72,1.19,3,1.83,3.14,0.81,7.92,2.62,0.77,2.27,0.45,,,2.21,1.86,1.89,1.42,0.42,1.27,3.25,0.13,1.17,2.52,2.98,1.22,2.57,2.25,1.23,5.38,1.71,2.01,0.75,1.4,1.89,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.1,1.67,6.16,1.11,5.61,3.37,5.17,3.69,2.86,2.48,0.43,3.24,2.07,1.62,,,6.9,2.06,1.63,4,6.62,2.85,6.8,4.42,4.58,2.78,4.7,1.99,3.58,3.75,3.42,1.22,0.67,3.18,0.65,1.07,6.01,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
