HAVANT FARLINGTON PUMPING STN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU678058,Long,-1.038306,Lat,50.847757,Elevation,78,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,
January,,,,,,,3.5,2.35,1.09,1.01,2.4,1.88,0.95,1.54,3.99,2.43,0.84,2.5,0.49,2.64,3.01,0.97,0.84,1.95,3.26,0.97,6.76,0.81,0.83,0.75,2.55,0.87,3.24,3.71,0.52,4.6,0.9,1.34,3.12,5.1,3.07,3.34,4.28,1.53,2.83,3.61,3.78,2.24,4.62,1.36,3.97,2.2,2.86,2,2.16,0.76,5.13,5.89,3.87,5.42,3.07,3.77,3.95,6.05,2.02,2.1,2.5,3.13,5.19,0.86,0.89,3.3,2.39,1.13,2.28,3.56,4.57,2.33,4.59,3.52,4.3,,,,,,,
February,,,,,,,0.71,0.72,0.74,1.89,0.92,0.02,0.77,2.68,1.7,0.05,0.27,3.16,1.68,2.76,4.59,1.2,1.73,1.31,3.28,0.5,2.7,0.97,0.89,0.34,2.66,1.46,1.85,1.13,3.43,3.98,3.62,1.23,1.04,2.61,0.42,0.42,2.85,4.42,0.33,4,1.79,3.89,1.85,1.32,1.47,1.91,0.31,3.58,0.02,3.49,2.62,5.07,0.54,1.63,3.76,3.01,0.49,1.5,0.78,1.92,3,2.27,1.34,1.05,5.04,5.72,0.68,1.35,3.06,1.68,0.09,4.45,2.67,0.18,3.53,,,,,,,
March,,,,,,,1.7,0.83,2.91,1.34,0.82,1.79,0.7,0.34,1.16,1.61,2.92,3.68,0.53,0.51,0.61,1.82,1.57,2.12,0.96,3.59,1.08,0.47,2.11,3.38,0.93,1.59,3.16,2.27,3.84,0.87,2.93,2.32,0.81,4.48,2.03,1.02,1.69,1.62,1.28,0.36,0.51,2.39,1.87,0.13,1.44,1.08,1.45,2.81,2.86,0.82,1.87,3.54,0.55,1.29,3.15,3.71,2.94,0.65,0.2,0.75,1.12,6.51,0.65,1.68,1.41,4.53,2.93,0.46,3.34,1.37,0.37,1.98,1.3,2.58,1.71,,,,,,,
April,,,,,,,1.44,1.05,1.35,1.89,2.4,0.84,0.74,0.05,1.53,2.17,0.4,1.7,1.14,2.41,1.47,2.12,1.15,2.46,1.26,1.45,0.77,3.87,2.11,1.39,2.1,0.99,0.08,2.19,1.19,1.04,0.7,1.36,1.91,1.55,2.12,0.94,3.17,2.9,2.44,2.58,2.42,1.78,1.83,0.76,2.48,3.17,2.67,1.28,1.97,2.86,1.84,2.34,0.03,2.52,0.84,1.49,1.43,0.89,1.44,1.13,1.95,1.75,1.53,1.42,2.1,2.75,1.6,1.5,0.23,0.45,2.02,0.2,0.72,2.09,0.88,,,,,,,
May,,,,,,,3.4,0.85,1.37,2.46,1.93,2.02,0.84,0.7,0.8,0.18,0.57,1.59,3.44,0.76,0.81,0.6,2.21,2.73,4.14,0.35,2.14,2.54,1.4,1.49,1.49,2.72,1.13,2.67,0.97,3.76,1.38,2.25,1.14,0.54,1.24,1.27,0.71,2.62,2.92,3.52,1.91,0.93,1.52,2.01,1.55,2.46,4.52,2.37,1.22,0.86,0.14,1.92,1.42,1.08,0.69,2.04,2.78,2.35,0.68,2.15,3.93,1.23,2.24,1.63,1.46,2.37,2.37,2.43,2.65,4.2,0.28,0.96,2.51,0.36,1.23,,,,,,,
June,,,,,,,0.43,1.56,4.88,1.69,2.67,1.43,1.68,1.07,1.52,0.7,1.13,3.38,1.82,0.94,2.64,3.19,3.75,2.13,1.13,3.61,1.52,1.97,0.69,3.61,1.97,1.61,2.78,0.34,1.66,1.08,1.72,2.93,0.87,0.67,2.11,0.05,1.59,0.4,3.2,0,2.35,2.56,2.07,1.49,0.56,1.69,1.63,1.75,1.24,2.54,2.62,0.98,0.56,1.26,0.18,1.26,0.35,1.17,1.69,2.2,3.23,1.67,2.11,0.98,1.31,1.64,1.23,2.84,3.13,2.71,2.21,1.57,3.07,0.71,2.25,,,,,,,
July,,,,,,,2.92,0.92,5.44,2.22,3.4,1.71,3.04,3.75,4.89,3.48,0.74,1.27,0.63,1.76,1.12,2.35,1.58,2.32,1.77,0.22,0.39,1.07,1.46,2.86,2.62,0.84,1.76,1.41,3.37,2.38,0.72,2.34,2.52,1.04,5.26,0.24,3,0.75,2.58,3.26,1.38,2.62,1.61,1.9,2.31,3.59,3.02,1.71,0.93,1.25,3.9,1.5,1.34,3.28,3.6,2.5,1.66,2.05,2.92,3.48,1.89,2.15,1.25,0.19,3.35,2.02,0.31,4,3.92,1.78,2.55,3.81,3.27,2.87,3.74,,,,,,,
August,,,,,,,1.74,1.15,2.02,1.5,2.9,4.89,2.9,1.41,1.54,2.57,1.77,3.58,1.16,0.53,1.72,1.28,3.7,3.63,2.74,2.05,1.07,1.71,2.74,3.01,2.74,1.07,7.33,2.05,1.48,1.28,1.92,4.61,2.23,2.51,1.29,2.17,3.24,1.95,2.59,4.44,1.28,2.82,2.39,1.72,3.37,3.46,1.31,0.73,2.79,3.21,0.65,1.82,2.02,1.52,0.07,4.42,2.83,1.15,1.67,1.8,4.85,0.85,3.74,1.06,2.84,4.61,2.32,1.75,3.35,1.41,3.43,2.22,5,4.07,5.76,,,,,,,
September,,,,,,,1.52,3.44,0.54,0.5,0.72,1.19,3.03,1.86,3.1,0.81,7.95,2.62,0.78,2.28,0.46,2.08,0.58,2.19,1.83,1.86,1.44,0.42,1.27,3.22,0.12,1.15,2.47,2.87,1.2,2.53,2.23,1.21,5.36,1.67,1.99,0.72,1.35,1.99,5.09,2.39,0.7,5.36,1.15,0.39,2.44,2.06,2.92,3.5,2.29,4.98,3.66,2.11,1.73,0.86,1.6,0.72,2.17,1.66,1.68,2.02,3.49,1.48,1.82,2.69,3.23,2.93,3.88,2.74,2.8,2.03,3.08,3.32,4.57,0.2,5.05,,,,,,,
October,,,,,,,3.59,1.1,1.67,6.12,1.11,5.64,3.37,5.17,3.66,2.89,2.46,0.41,3.23,2.09,1.64,2.67,1.77,6.85,2.04,1.61,3.88,6.58,2.82,6.74,4.4,4.56,2.77,4.55,1.91,3.53,3.71,3.46,1.2,0.61,3.08,0.61,1.05,5.97,4.55,3.29,2.42,1.73,6.32,3.42,2.91,0.7,6.3,1.83,1.85,5,0.99,2.89,3.7,5.58,4.14,1.33,3.27,3.2,4.21,3.3,0.65,1.46,2.04,7.84,0.49,1.36,4.02,3.8,2.4,2.61,1.65,1.96,2.4,3.1,7.39,,,,,,,
