BOURNEMOUTH-PLEASURE-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ089909,Long,-1.87528,Lat,50.71767,Elevation,41,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.27,2.43,5.42,1.15,7.34,0.89,0.98,1.24,3.79,1.44,5.43,5.97,0.53,3.62,2.05,1.33,3.19,6.45,5.04,4.04,5.35,1.5,3.43,4.92,3.24,2.02,4.42,1.04,2.75
February,,,1.61,2.23,4.87,0.79,3.36,1.25,1.28,0.44,4.32,1.5,2.75,1.89,5.15,7.3,5.75,1.44,1.53,3.56,0.63,0.64,2.61,6.43,0.33,3.93,1.96,2.6,1.48,1.34,0.76
March,,,2.85,3.82,1.53,5.33,1.34,0.59,3.51,4.39,0.99,2.73,4.28,2.97,6.06,0.91,4.28,3.29,1.32,4.65,2.46,1.48,2.49,1.56,1.57,0.91,0.54,2.58,2.48,0.11,0.82
April,,,1.49,2.74,1.28,1.61,1.03,3.87,2.47,1.44,2.06,1.45,0.04,4.3,1.44,1.33,0.55,2.03,2,1.78,3.16,1.11,5.43,3.71,2.61,2.27,2.89,1.94,1.64,0.91,1.84
May,,,1.98,2.99,2.94,0.6,3.02,1.76,1.61,1.39,1.38,0.64,1.51,2.16,1.11,3.18,2.08,2.52,1.6,0.6,1.33,1.37,0.65,2.04,3.21,2.73,1.88,0.74,0.92,1.59,1.39
June,,,3.13,2.45,0.91,3.11,1.3,1.6,0.71,3.91,3.41,1.9,4.84,0.93,0.92,1.19,2.09,1.63,1.3,0.88,2.63,0.45,1.21,0.39,1.95,0,2.12,1.85,1.96,1.33,0.32
July,,,1.87,3.43,2.27,0.69,1.35,1.54,1.64,2.01,3.12,0.22,2.32,1.51,3.42,4.33,0.82,2.81,3.68,2.46,5.74,0.27,4.08,0.49,3.4,2.92,1.26,2.26,1.17,1.56,0.8
August,,,4.65,3.72,2.85,2.81,0.59,1.61,2.27,2.74,1.66,1.31,7.06,0.99,2.51,0.72,4.2,5.16,2.38,3.08,1.27,2.38,3.27,2.75,2.39,2.89,0.7,3.16,2.27,1.11,1.77
September,,,1.66,2.26,2.55,2.2,0.86,0.75,3.47,3.11,0.18,1.07,2.61,3.62,1.68,2.22,2.66,1.63,6.57,1.69,1.23,1.05,1.78,3.38,3.36,2.6,0.59,5.25,1.73,0.32,2.32
October,,,2.23,9.56,3.22,1.75,7.32,10.97,2.01,7.89,5.03,5.52,5.23,4.05,2.87,4.98,4.55,5.09,1.75,1.12,3.17,1.01,1.45,5.57,4.19,2.86,4.14,1.69,5.58,3.44,1.88
November,,,3.58,2.19,1.33,5.47,4.89,2.99,1,1.35,3.45,5.04,2.27,3.42,5.19,3.88,5.21,1.14,3.18,1.94,1.7,1.9,2.94,1.89,3.39,2.04,6.99,2.81,2.89,4.39,3.56
December,,,1.98,2.98,4.21,1.05,2.37,3.49,4.38,4.56,6.2,9.74,4.86,1.97,11.82,9.57,4.86,1.24,2.99,6.91,3.71,1.83,5.52,3.44,4.4,3.38,0.76,3.21,3.36,3.61,2.36
Total,,,28.3,40.8,33.38,26.56,34.77,31.31,25.33,34.47,35.59,32.56,43.2,33.78,42.7,43.23,39.1,29.31,31.49,35.12,32.07,17.53,36.78,33.15,34.23,31.45,27.07,30.11,29.9,20.75,20.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 In the nursery gardens behind the pumping station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Apr 15 Inspection Low buildings on S and SW will break wind from sea Should be fairly good position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Gauge moved to more open position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Apr 23 Inspection Site satisfactory Good readings should be obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Not printed Low Bad exposure Note says gauge situated in a draught and the rain blows over I do not take notice of this rainfall I hope to get another and better position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
