BOURNEMOUTH PLEASURE GARDENS,,,,,,,,,,,,
Grid ref,SZ086911,Long,-1.879541,Lat,50.719464,,,,,,,
Station no,RR7642,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.27,2.43,5.42,1.15,7.34,0.89,0.98,1.24,,
February,,,1.61,2.23,4.87,0.79,3.36,1.25,1.28,0.44,,
March,,,2.85,3.82,1.53,5.33,1.34,0.59,3.51,4.39,,
April,,,1.49,2.74,1.28,1.61,1.03,3.87,2.47,1.44,,
May,,,1.98,2.99,2.94,0.60,3.02,1.76,1.61,1.39,,
June,,,3.13,2.45,0.91,3.11,1.30,1.60,0.71,3.91,,
July,,,1.87,3.43,2.27,0.69,1.35,1.54,1.64,2.01,,
August,,,4.65,3.72,2.85,2.81,0.59,1.61,2.27,2.74,,
September,,,1.66,2.26,2.55,2.20,0.86,0.75,3.47,3.11,,
October,,,2.23,9.56,3.22,1.75,7.32,10.97,2.01,7.89,,
November,,,3.58,2.19,1.33,5.47,4.89,2.99,1.00,1.35,,
December,,,1.98,2.98,4.21,1.05,2.37,3.49,4.38,4.56,,
Total,,,28.30,40.80,33.38,26.56,34.77,31.31,25.33,34.47,,
Calc annual,0.00,0.00,28.30,40.80,33.38,26.56,34.77,31.31,25.33,34.47,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
