LYNMOUTH (RECREATION GROUND),,,,,,,,,,,,
Grid ref,SS724495,Long,-3.828912,Lat,51.230380,,,,,,,
Station no,1830/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.18,4.48,,
February,,,,,,,,,0.21,3.55,,
March,,,,,,,,,3.92,2.18,,
April,,,,,,,,,3.85,2.42,,
May,,,,,,,,,1.57,1.18,,
June,,,,,,,,,1.52,1.87,,
July,,,,,,,,,2.79,4.58,,
August,,,,,,,,,1.97,4.71,,
September,,,,,,,,,0.42,4.90,,
October,,,,,,,,,6.29,9.14,,
November,,,,,,,,,8.60,9.56,,
December,,,,,,,,,9.03,6.91,,
Total,,,,,,,,,45.35,55.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.35,55.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
