CASTLETON-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK149828,Long,-1.7776748,Lat,53.341892,Elevation,650,ft.,,,,,,,,,,,,
Station no,RR4221,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.54,5.8,3.19,4.01,4.01,2.11,5.33,6.66,1.5,0.56,0.91,3.56,4.74,5.22,3.38,,,,
February,,4.64,3.22,0.83,1.79,1.4,3.04,8.37,1.61,4.39,4.8,8.41,3.35,3.76,5.16,3.75,,,,
March,,1.99,4.09,4.25,5.16,1.08,5.47,3.81,3.89,2.29,2.8,6.5,3.61,1.32,3.08,2.25,,,,
April,,3.82,4.82,0.64,2.37,1.47,3.81,3.92,1.26,3.17,2.77,1.61,5.34,2.79,1.85,1.9,,,,
May,,3.22,3.62,3.4,1.31,2.44,1.05,4.26,6.39,1.68,2.92,4.42,1.85,1.21,2.76,3.08,,,,
June,,3.15,7.61,3.3,0.97,3.23,3.42,4.06,3.2,6.33,3.93,2.43,7.22,5.16,2.03,3.63,,,,
July,,4.44,4.6,3.41,1.84,7.56,2.43,4.21,1.99,4.69,5,3.6,5.23,3.99,3.53,,,,,
August,,2.65,4.1,4.27,5.04,3.08,2.83,5.2,5.9,6.71,3.33,4.57,3.1,3.89,3.29,2.36,,,,
September,,-999,8.51,3.08,1.9,1.83,4.94,4.35,0.83,3.11,7.26,2.51,2.14,6.43,2.53,,,,,
October,1.5,-999,6.73,4.28,4.43,10.37,3.45,-999,4.7,2.92,5.93,5.44,5.58,5.9,3.16,,,,,
November,2.59,4.3,4.98,4.8,6.64,6.07,5.07,-999,3.97,0.21,5.6,5.17,9.72,4.07,1.37,3.2,,,,
December,3.5,3.2,6.83,1.31,4.24,1.91,8.18,5.95,2.36,4.71,8.2,6.47,7.61,4.34,6.17,1.44,,,,
Total,,40.1,64.91,36.76,39.7,44.45,45.8,60.92,42.76,41.71,53.1,52.04,58.31,47.6,40.15,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Castleton Hall. Stated altitude is 50 ft too high, OS figure used",,,,,,,,,,,,,,,,,,,,
