"HODDAM CASTLE",,,,,,,,,,,,
Grid ref,NY155729,Long,-3.323926,Lat,55.043394,,,,,,,
Station no,RR4422,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,3.08,,
April,,,,,,,,,,3.39,,
May,,,,,,,,,,2.38,,
June,,,,,,,,,,2.27,,
July,,,,,,,,,,4.90,,
August,,,,,,,,,,2.72,,
September,,,,,,,,,,1.68,,
October,,,,,,,,,,7.60,,
November,,,,,,,,,,1.67,,
December,,,,,,,,,,6.11,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
