HODDAM CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY155726,Long,-3.3238366,Lat,55.040699,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,3.27,1.59,3,3.23,3.24,3.4,5.13,2.33,4.95,3.97,5.24,,,,,,,,,,
February,,,,,,,,,,,4.7,4.64,2.91,2.12,4.48,7.06,3.2,1.1,4.65,0.82,3.7,,,,,,,,,,
March,,,,,,,,,,3.08,2.84,1.17,5.15,4.05,4.39,1.45,1.5,2.19,1.48,3.87,4.69,,,,,,,,,,
April,,,,,,,,,,3.39,2.79,4.28,0.6,3.88,1.84,2.43,2.81,2.09,0.96,2.38,3.01,,,,,,,,,,
May,,,,,,,,,,2.38,2.35,2.28,1.31,3.32,2.21,1.39,3.39,3.34,2.57,1.14,5.07,,,,,,,,,,
June,,,,,,,,,,2.27,0.91,2.17,5.15,2.77,0.69,0.83,3.15,2.39,1.75,2.03,2.44,,,,,,,,,,
July,,,,,,,,,,4.9,5.53,1.5,3.54,1.01,3.37,5.45,4.95,1.99,3.79,1.01,4.6,,,,,,,,,,
August,,,,,,,,,,2.72,7.64,2.47,4.68,1.82,3.07,2.24,3.42,6.64,3.71,3.41,4.44,,,,,,,,,,
September,,,,,,,,,,1.68,0.72,2.33,2.1,2.67,1.73,1.1,2.11,4.51,7.08,3.8,2.3,,,,,,,,,,
October,,,,,,,,,,7.6,2.35,3.5,4.67,3.16,1.4,2.51,7.95,6.02,5.62,1.92,1.67,,,,,,,,,,
November,,,,,,,,,,1.67,4.43,5.57,3.32,5.22,4.88,1.72,5.35,4.11,2.63,2.45,2.7,,,,,,,,,,
December,,,,,,,,,,6.11,3.81,6.96,5.74,2.35,5.15,6.84,3.97,2.75,5.07,6.63,4.75,,,,,,,,,,
Total,,,,,,,,,,,41.34,38.46,42.17,35.6,36.45,36.42,46.93,39.46,44.26,33.43,44.61,,,,,,,,,,
