"TURRIFF (FORGLEN GARDENS)",,,,,,,,,,,,
Grid ref,NJ699519,Long,-2.504663,Lat,57.556190,,,,,,,
Station no,5665,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.04,3.17,2.33,1.92,1.32,3.87,2.22,4.10,6.10,3.98,,
February,3.98,2.21,1.89,2.47,2.77,2.06,1.77,3.43,0.62,3.30,,
March,2.99,2.43,0.25,1.88,2.18,1.24,2.42,2.70,1.46,1.86,,
April,3.23,2.32,2.07,0.90,1.07,1.72,1.41,1.47,1.91,1.81,,
May,1.03,1.50,1.67,4.39,3.30,0.68,1.46,2.29,0.74,1.15,,
June,2.97,2.90,3.89,3.58,1.64,3.07,3.44,2.00,3.13,1.81,,
July,4.18,1.66,4.15,2.97,0.33,4.73,4.98,5.11,2.39,3.20,,
August,3.99,3.01,2.30,2.29,0.93,4.22,4.84,2.98,1.23,5.96,,
September,1.01,4.32,2.88,2.28,1.91,2.27,3.23,2.22,1.11,2.48,,
October,1.30,2.31,1.16,5.12,5.44,2.91,1.83,2.17,5.14,5.13,,
November,7.28,4.09,1.72,4.64,1.37,2.17,2.20,1.28,5.66,3.29,,
December,2.44,4.39,2.97,5.11,4.96,3.50,4.25,2.58,3.06,1.97,,
Total,37.44,34.31,27.28,37.55,27.22,32.44,34.05,32.33,32.55,35.94,,
Calc annual,37.44,34.31,27.28,37.55,27.22,32.44,34.05,32.33,32.55,35.94,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
