"GLENAM, CLONMEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS2157522268,Long,-7.684056,Lat,52.351889,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.19,5.53,4.43,5.03,6.79,4.59,6.39,7.02,7.84,3.52,7.78,2.37,6.7,3.19,4.75,1.41,1.05,2.59,8.48,5.44,4.45,3.41,5.5,5.95,3.32,5.11,2.95,3.05,4.98,5.38,6.41,1.09,5.04,2.99,5.8,4.14,5.14,2.4,6.75,5.54,3.22,5.21,0.88,2.24,2.17,2.65,1.6,,,,,,,,
February,,,,,,2.56,2.38,2.63,2.16,3.1,4.69,4.07,6.66,2.22,4.64,2.13,5.57,1.72,3.41,4.86,6.75,4.13,4.85,8.81,7.76,6.34,3.91,1.39,1.06,2.5,2.94,0.34,5.43,3.88,2.11,1.39,2.13,1.77,1.62,4.3,4.74,1.82,4.7,3.89,5.81,2.01,3.41,2.02,2.11,1.89,5.78,3,,,,,,,,
March,,,,,,2.22,4.9,5.62,3.09,2.59,2.64,2.35,4.53,4.13,1.45,2.7,4.1,3.19,0.8,1.93,2.38,4.46,2.66,2.17,5.03,2.93,3.03,1.37,3.28,1.14,5.48,1.43,1.32,0.61,1.83,3.27,3.8,5.43,0.65,1.41,0.99,2.13,3.01,7.5,2.66,6.15,2.3,1.59,3.86,3.49,2.99,2.96,,,,,,,,
April,,,,,,1.57,3.01,3.14,3.86,2.75,1.35,4.76,2.82,1.4,2.24,0.92,3.65,7.01,2.1,2.57,4.32,1.8,5.77,3.03,1.92,5.46,3.04,1.57,2.77,3.61,1.33,2.07,1.02,0.74,6.17,2.36,0.67,5.08,4.54,3.48,1.97,2.87,3.26,1.78,2.16,5.3,1.51,3.48,2.07,4.94,2.07,3.59,,,,,,,,
May,,,,,,3.35,1.61,5.37,2.07,4.29,2.74,0.91,1.4,1.73,0.74,2.24,0.54,3.3,4.79,1.98,1.47,1.77,4.51,1.96,1.81,3.25,4.97,1.21,2.97,5,3.89,3.24,3.23,2.36,2.05,0.9,0.13,1.6,2.55,3.2,2.98,1.95,2.85,4.09,2.93,1.19,3.25,3.44,3.02,3.06,2.93,1.3,,,,,,,,
June,,,,,,1.66,4.16,0.73,1.69,0.69,0.89,2.28,3.9,1.84,1.41,3.18,1.42,2.93,6.39,6.86,2.37,5.4,3.87,1.54,0.53,1.19,0.94,0.34,4.72,1.87,2.83,3.35,2.74,1.55,2.11,2.24,2.35,2.9,3.92,2.23,4.86,2.3,3.56,2.92,3.02,2.22,1.45,3.88,1.58,2.02,4.35,1.77,,,,,,,,
July,,,,,,3.36,1.49,3.29,1.36,2.79,1.5,5.39,4.15,4.17,2.18,3.37,1.72,1.86,0.78,3.28,4.13,2.32,5.88,5.06,3.01,2,4.76,2.24,4.95,1.77,2.56,2.67,3.89,2.34,3.74,3.36,5.04,1.34,1.46,4.29,2.75,0.76,3.45,5.89,4.37,1.27,2.47,2.58,3.1,1.98,2.22,4.9,,,,,,,,
August,,,,,,5.3,3.41,3.19,8.71,1.1,1.99,2.72,3.85,7.08,4.27,3.16,3.68,5.35,3.02,5.64,1.3,5.41,3.57,3.42,0.81,4.36,3.84,3.22,4.11,5.31,3.17,5.65,5.76,4.2,4.37,5.12,1.78,5.28,4.78,2.51,4.22,4.13,4.46,4.76,3.53,5.61,1.88,2.54,4.28,0.77,6.25,2.06,,,,,,,,
September,,,,,,0.56,4.23,3.23,6.21,6.05,2.73,5,3.33,2.61,3.92,6.01,4.46,2.57,3.12,3.32,2.35,2.96,1.65,5.87,1.98,4.27,4.59,2.07,0.39,0.71,2.88,2.51,3.68,1.36,1.07,1.46,5.81,2.83,3.14,1.29,1.1,5.45,3.76,3.94,4.57,1.66,1.65,1.27,6.03,2.15,0.96,3.37,,,,,,,,
October,,,,,,4.35,2.22,4.86,2.89,0.81,5.16,6.07,4.6,3.51,5.72,8.58,6.21,5.07,3.82,1.28,3.8,7.91,3.43,3.5,1.98,4.14,7.21,2.9,3.51,4.1,2.12,6.64,2.54,3.76,4.94,2.73,3.23,4.17,5.5,1.79,5.22,3.6,4.61,5.32,2.3,0.9,6.22,6.99,3.09,7.57,3.5,,,,,,,,,
November,,,,,,7.36,2.39,1.18,3.8,2.55,2.39,3.04,5.98,3.12,3.88,3.9,4.86,5.22,1.97,0.64,4.9,5.63,3.46,4.07,3.53,2.57,2.08,2.64,6.86,2.24,5.2,4.74,6.65,2.9,5.33,7.12,1.2,5.25,4.32,4.07,5.71,1.83,7.44,1.44,2.23,4.31,2.04,4.25,2.68,0.71,3.24,,,,,,,,,
December,,,,,,6.46,4.04,1.7,8.42,6.03,2.58,3.8,10.89,1.07,4.13,2.8,8.5,3.16,2.03,2.22,3.56,5.51,4.38,1.35,4.13,1.59,5.53,2.89,7.21,4.03,2.43,5.56,1.94,4.75,3.74,11.58,6.76,5.19,3.02,9.62,5.06,4.26,3.3,5.63,2.96,3.13,3.12,7.42,4.24,4.99,4.3,,,,,,,,,
Total,,,,,,40.94,39.37,39.37,49.29,39.54,33.25,46.78,59.13,40.72,38.1,46.77,47.08,48.08,35.42,39.33,38.74,48.35,46.62,49.26,37.93,42.55,47.31,27.34,47.78,35.6,39.94,41.15,41.25,33.43,42.84,47.94,33.99,45.88,38.49,43.99,43.74,36.24,46.8,53.91,42.08,36.97,34.51,40.34,38.3,35.74,41.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911 October and totals subsequent years - ""estimated roughly from Clonmel Bruce Villa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
