FORT WILLIAM PUBLIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 098 735,Long,-5.117578,Lat,56.814057,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,10.59,11.28,9.57,9.52,2.37,8.17,1.63,13.49,10.55,14.57,5.63,8.69,11.81,9.33,10.24,20,8.77,9.9,5.55,12.23,3.38,9.5,,,
February,,,,,,3.1,6.45,12.81,5.58,2.92,9.5,3.82,9.69,10.02,9.64,12.67,4.75,11.43,3.14,9.12,1.66,8.7,4.07,9.36,14.8,0.47,6.86,,,
March,,,,,,2.87,10.09,5.21,7.28,7.52,5.84,6.1,14.91,3.45,6.02,4.85,4.94,3.58,5.33,6.23,11.33,6.81,2.24,4.82,10.25,6.02,10.84,,,
April,,,,,,3.71,2.21,2.27,2.01,1.33,5.85,2.39,3.96,3.92,0.85,4.47,5.98,3.54,3.92,2.85,3.05,1.07,2.35,3.49,1.69,5.29,4.06,,,
May,,,,,,7.6,2.08,5.48,4.97,4.19,3.49,4.11,4.31,4.68,5.9,4.11,3.87,1.86,6.2,2.88,2.67,3.07,6.45,2.99,3.93,2.11,1.44,,,
June,,,,,,3.96,6.22,11.26,3.61,3,3.85,6.25,4.37,3.09,2.51,3.26,2.95,3.33,2.82,1,7.66,3,4.03,1.89,3.29,3.07,,,,
July,,,,,,2.39,6.43,7.24,1.84,8.16,4.04,11.57,6.47,3.55,6.34,3.74,5.1,7.88,4.35,1.35,7.42,4.58,5.68,4.75,5.76,4.64,,,,
August,,,,,,10.69,4.37,4.49,5.1,5.93,2.35,6.9,5.13,6.78,6.09,3.12,4.93,3.23,6.88,7.61,6.22,8.41,8.71,6.23,7.88,9.06,,,,
September,,,,,,4.11,3.07,4.43,10.79,13.98,6.64,2.3,5.7,3.5,6.12,11.61,8.75,4.67,2.94,3.91,6.7,14.37,14.84,9.31,0.3,5.48,,,,
October,,,,,,5.84,8.99,14.05,9.43,5.64,2.3,5.89,3.65,9.57,13.77,8.69,5.57,5.75,8.02,4.11,14.81,11.09,5.6,13.01,2.12,4.81,,,,
November,,,,,,5.8,2.67,15.91,2.74,4.77,12.69,13.33,10.28,13.52,13.55,6.64,8.95,5.39,11.2,5.12,10.32,6.26,9.92,8.56,12.02,8.53,,,,
December,,,,,,10.58,6.09,15.46,4.03,8.29,7.62,13.72,7.59,9.24,11.58,13.27,7.31,8.31,6.21,10.56,1.55,11.71,6.13,16.96,9.52,8.4,,,,
Total,,,,,,71.24,69.95,108.18,66.9,68.1,72.34,78.01,89.55,81.87,96.94,82.06,71.79,70.78,70.34,64.98,93.39,87.84,79.92,86.92,83.79,61.26,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used different NGR from the Hyd Stn of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN099736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as it was too far North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
