"KENDAL, HIGHGATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD514923,Long,-2.7474,Lat,54.3241,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,5.94,5.75,2.76,10.02,9.3,7.44,8.39,3.68,9.17,5.8,2.21,,,,,,,,,,,,1.76,4.24,,,,,,,,,,,,,,,,,,,,3.95,4.57,5.43,5.87,6.74,2.48,7,5.84,7.39,10.32,6.46,4.51,4.93,5.11,6.99,6.21,14.68,2.02,8.42,4.76,6.26,3.63,5.96,,,,,,
February,,,,,,,,,,8.62,3.13,5.52,5.71,0.78,3.11,1.51,6.77,4.11,2.98,3.53,,,,,,,,,,,,0.57,1.8,,,,,,,,,,,,,,,,,,,,3.51,2.95,6.25,7.49,5.63,1.76,4.91,1.64,6.04,0.16,5.55,6.24,0.82,5.52,7.6,4.19,7.14,1.6,0.44,4.38,0.1,3.99,0.26,,,,,,
March,,,,,,,,,,0.89,2.51,2.52,5.49,3.51,4.51,1.65,5.14,3.14,2.58,3.26,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,7.49,5.67,5.66,2.23,2.3,2.27,2.1,4.57,6.44,6.98,3.41,1.91,2.47,1.69,2.93,5.1,5.59,1.28,3.31,0.77,3.31,3.34,2.72,,,,,,
April,,,,,,,,,,3.85,2,3.2,2.39,0.61,1.92,1.73,2.83,2.6,2.84,1.35,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,1.06,5.66,1.43,2.86,2.91,2.18,1.51,2.93,5.98,1.4,2.48,4.19,2.32,5.01,1.91,2.76,2.14,2.29,2.44,2.61,3.67,2.32,2.76,,,,,,
May,,,,,,,,,,2.83,4.6,1.98,2.88,2.47,1.16,2.88,1.08,3.08,5.5,1.72,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,2.07,2.33,2.58,1.12,4.43,2.98,2.15,1.65,6.69,3.72,3.44,3.65,7.37,5.44,2.02,2.52,0.72,2.5,1.67,2.57,4.36,1.82,3.8,,,,,,
June,,,,,,,,,,1.68,1.67,1.98,4.97,2.69,1.22,5.48,4.68,3.01,3.76,6.05,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,6.43,4.01,1.94,1.06,3.01,3.15,2.93,2.34,2.25,0.15,2.78,0.99,4.02,0.17,3.91,3.97,7.46,2.79,2.49,7.32,2.17,2.01,3.68,,,,,,
July,,,,,,,,,,1.6,7.26,7.67,4.79,6.86,3.3,2.57,3.44,6.2,0.65,6,,,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,5.27,0.73,4.01,6.94,4.09,2.5,6.5,1.9,6.13,2.35,5.74,4.87,5.08,2.18,4.22,5.36,8.35,5.33,4.04,6.05,6.08,2.8,3.19,,,,,,
August,,,,,,,,,,1.93,1.67,6.99,5.33,6.19,7.44,3.13,4.18,5.78,4.69,4.87,,,,,,,,,,,,8.68,,,,,,,,,,,,,,,,,,,,3.84,6.22,2.56,4.9,3.74,3.73,12.16,4.19,4.6,3.37,7.89,5.13,8.61,4.01,5.27,4.52,7.39,8.37,8,5.72,3.83,2.05,2.95,4.29,,,,,,
September,,,,,,,,,,11.44,3.03,4,8.58,3.05,5.77,6.2,5.06,4.41,5.59,4.09,,,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,,,,5.75,1.73,2.86,4.05,2.25,2.52,4.36,10.82,3.92,3.7,2.3,4.14,6.71,7.06,4.47,3.73,7.95,4.27,2.69,3.13,2.24,5.61,1.01,6.58,,,,,,
October,,,,,,,,,,3.36,9.9,6.7,7.64,7.95,12.65,3.84,4.39,8.52,5.27,2.45,,,,,,,,,,,,6.34,,,,,,,,,,,,,,,,,,,,5.78,6.59,4.29,2.11,1.02,10.59,8.43,5.86,2.22,1.45,2.87,1.97,8.8,5.13,6.03,3.06,5.71,8.43,6.9,9.18,4.52,7.26,4.39,7.2,,,,,,
