LYDBURY-NORTH-LOWER-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO353854,Long,-2.9537148,Lat,52.462694,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2273/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.49,3.12,3.98,3.97,4.89,1.47,5.7,2.01,3.4,2.35,3.14,1.17,4.61,4.96,4.68,6.42,3.52,4.38,,,,,,,,,
February,,,,,0.41,3.92,2.16,2.83,2.55,1,0.88,3.01,0.31,3.49,0.3,3.11,2.37,5.25,0.62,2.37,3.02,3.51,,,,,,,,,
March,,,,,1.23,1.15,0.55,2.88,2.7,0.3,3.45,0.45,2.8,2.53,2.74,0.93,2.72,2.77,0.28,2.3,2.12,3.46,,,,,,,,,
April,,,,,3.07,2,2.78,1.83,1.57,0.88,3.46,3.38,4,0.77,3.21,4.43,2.41,1.9,0.15,2.63,4.01,1.59,,,,,,,,,
May,,,,2.06,4.47,3.95,2.25,1.18,1.05,2.4,1.92,5.69,4.88,1.93,1.68,0.71,1.06,1.48,2.26,1.17,2.26,2.66,,,,,,,,,
June,,,,0.49,2.02,0.21,1.86,4.13,4.37,2.25,0.72,3.75,0.99,2.06,1.57,3.14,4.02,0.82,2.66,1.39,2.01,1.99,,,,,,,,,
July,,,,2.73,4.91,2.26,2.76,3.48,1.53,2.28,3.55,2.75,3.22,2.36,2.08,0.61,4.04,2.79,2.9,7.35,3.46,2.41,,,,,,,,,
August,,,,2.55,3.25,3.69,2.66,5.35,3.47,1.51,3.75,5.79,1.57,1,2.58,1.16,0.49,0.96,3.25,1.74,0.31,4.14,,,,,,,,,
September,,,,2.13,4.46,3.02,1.35,3.63,1.42,1.68,4.08,2.44,2.46,0.76,2.03,5.38,3.06,2.58,1.1,0.81,1.3,1.14,,,,,,,,,
October,,,,5.68,4.53,3.95,3,2.36,4.66,3.65,3.22,0.94,5.2,4.65,2.21,3.78,2.05,3.68,4.3,3.07,4.11,2.55,,,,,,,,,
November,,,,1.89,2.71,2.33,6.25,4.37,4.74,7.49,3.63,5.14,1.98,0.77,1.76,5.9,4.17,1.73,5.57,6.03,8.46,3.38,,,,,,,,,
December,,,,2.31,4.67,3.15,0.65,2.68,2.43,7.87,4.27,1.22,1.88,0.95,6.26,3.49,3.26,3.34,3.82,2.14,1.67,1.86,,,,,,,,,
Total,,,,,38.22,32.75,30.25,38.69,35.38,32.78,38.63,36.57,32.69,23.62,29.56,33.81,34.26,32.26,31.59,37.42,36.25,33.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Lower Gardens south of Lydbury North. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The observer Erskine Edmonds lived at the gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
