"HOOTON GRANGE",,,,,,,,,,,,
Grid ref,SJ362787,Long,-2.958798,Lat,53.301390,,,,,,,
Station no,RR4213,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,2.27,1.80,2.25,1.88,1.27,4.86,0.97,,,,
February,3.57,1.73,2.21,1.26,3.38,1.09,1.97,1.19,,,,
March,1.00,1.54,1.63,3.59,1.58,2.79,1.96,2.02,,,,
April,1.08,2.15,2.19,2.06,0.97,1.98,1.16,1.39,,,,
May,1.64,1.41,4.38,3.02,2.45,0.72,2.44,3.28,,,,
June,2.26,2.22,1.85,1.37,1.42,3.92,1.48,4.60,,,,
July,2.18,3.67,2.37,3.91,2.95,2.28,1.04,2.15,,,,
August,5.48,2.99,3.59,3.37,4.94,3.48,2.87,3.36,,,,
September,0.71,1.29,1.21,4.33,2.35,1.72,1.64,0.56,,,,
October,4.52,3.07,3.49,7.40,1.21,2.05,4.14,3.57,,,,
November,3.31,3.16,1.86,3.43,1.83,3.22,1.64,2.61,,,,
December,2.85,3.68,2.47,1.54,2.65,0.52,3.49,1.87,,,,
Total,32.24,29.18,29.05,37.53,27.61,25.04,28.69,27.57,,,,
Calc annual,32.24,29.18,29.05,37.53,27.61,25.04,28.69,27.57,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
