"PITLOCHRY, DUNFALLANDY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 94513 56606,Long,-3.723802,Lat,56.689235,Elevation,405,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.4,1.95,2.16,4.72,4,6.23,3.25,2.32,3.89,5.86,4.89,8.08,1.21,5.04,3.1,5.24,3.32,5.58,1.54,3.55,,,,
February,,,,,,,,0.85,4.26,1.06,4.09,0.47,3.04,7.67,1.35,4.92,4.04,1.3,3.08,1.69,0.65,2.14,0.16,3.67,0.55,4.02,2.21,,,,
March,,,,,,,,1.5,2.51,2.38,3.93,4.25,1.77,1.58,0.62,1.72,2.43,2.5,5.54,0.56,1.39,0.91,2.43,1.6,2.69,2.53,2.01,,,,
April,,,,,,,,1.3,0.86,1.35,1.54,0.83,2.91,2.98,2.32,3.07,1.81,1.81,1.11,1.16,1.43,1.81,2.94,1.53,3.16,3.27,0.82,,,,
May,,,,,,,,1.38,3.44,1.4,2.93,1.9,2.41,2.11,3.53,4.5,2.57,2.55,1.15,2.8,1.7,4.11,2.5,1.76,2.59,0.64,0.84,,,,
June,,,,,,,,2.05,1.04,1.47,0.85,0.84,1.66,0.78,1.47,0.5,4.32,2.91,2.61,2.1,1.6,4.4,1.2,0.97,1.1,5.66,2.03,,,,
July,,,,,,,,1.08,5.9,0.3,2.46,2.77,3.3,2,3.71,2.25,4.71,5.42,0.99,2.07,1.79,5.9,3.16,3.63,4.02,1.27,4.11,,,,
August,,,,,,,,3.38,2.68,1.34,3.75,4.57,1.91,5.23,4.64,2.63,2.25,7.89,4.87,3.19,5.88,1.4,1.38,1.61,4.12,2.13,2.19,,,,
September,,,,,,,1.17,1.79,3.71,2.03,2.06,1.55,1.69,3.8,4.28,2.52,3.37,3.79,3.35,1.12,3.6,0.99,1.93,2.01,4.88,4.5,4.12,,,,
October,,,,,,,5.96,3.88,3.12,0.97,4.57,2.1,1.34,4.71,3.7,3.28,5.29,4.56,5.21,4.37,4.57,1.95,6.52,3.52,5.31,6.74,,,,,
November,,,,,,,5.55,4.18,3.99,4.6,4.07,3.09,1.55,3.14,2.14,1.01,6.98,2.92,4.32,3.6,4.37,6.4,2.72,3.27,0.47,4.53,,,,,
December,,,,,,,3.9,2.01,2.65,5.44,3.67,4.45,3.95,2.78,5.74,3.66,1.35,1.56,3.43,8.8,4.51,2.44,4.79,0.91,7.02,2.28,,,,,
Total,,,,,,,,24.8,36.11,24.5,38.64,30.82,31.76,40.03,35.82,33.95,44.98,42.1,43.74,32.67,36.53,35.55,34.97,27.8,41.49,39.11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
