NEW-MILTON-WOOTTON-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ247981,Long,-1.651,Lat,50.78221,Elevation,188,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.16,7.63,0.71,1.48,1.15,3.31,1.31,5.34,5.62,0.68,3.81,1.9,1.42,4,6.39,,4.38,,,,,,,,,
February,,,,,,0.64,3.72,1.19,1.24,0.45,3.84,1.72,3.4,1.59,5.37,6.66,5.56,1.4,1.63,3.78,,0.18,,,,,,,,,
March,,,,,,4.95,1.63,0.51,3.27,4.78,1.01,2.53,4.43,3.21,5.73,1.11,3.16,3.4,1.43,5.54,,1.68,,,,,,,,,
April,,,,,,2,1.38,4.55,2.69,1.85,2.47,1.57,0.1,3.33,1.44,1.41,0.86,1.99,2.8,1.45,,1.31,,,,,,,,,
May,,,,,,0.57,2.53,2.12,1.76,2.17,1.75,0.96,1.36,2.73,1.14,3.56,2.14,1.89,1.41,1.07,,1.44,,,,,,,,,
June,,,,,,2.75,1.63,2.86,0.65,3.29,4.2,1.88,4.91,1.17,1.74,0.62,2.32,2.27,1.34,0.87,,0.43,,,,,,,,,
July,,,,,,0.26,1.22,1.51,2.99,2.8,2.94,0.17,1.87,0.69,3.93,5.66,0.99,3.37,4.39,2.29,,0.71,,,,,,,,,
August,,,,,,3.31,1.1,2.06,4.58,2.51,1.84,0.8,7.4,1.34,3.04,1.25,4.51,5.24,2.61,3.63,,1.85,,,,,,,,,
September,,,,,,2.11,1.15,0.56,2.18,3.8,0.16,1.44,2.48,3.36,1.44,2.95,2.45,1.63,6.16,1.86,,0.85,,,,,,,,,
October,,,,,,1.8,6.51,8.92,2.08,10.57,5.03,5.1,3.94,4.75,2.71,4.93,5.9,5.22,2.44,0.71,,1.02,,,,,,,,,
November,,,,,,4.94,4.56,3.24,1.17,0.94,4.18,5.33,2.02,3.79,5.17,3.72,3.09,1,3.17,3.34,,2.48,,,,,,,,,
December,,,,,,1.48,2.31,4.65,4.15,4.66,5.13,8.07,4.19,1.64,10.13,8.68,4.97,1.16,3.34,6.13,,1.77,,,,,,,,,
Total,,,28.11,43.4,35.61,25.97,35.37,32.88,28.24,38.97,35.86,30.88,41.44,33.22,42.52,44.36,37.85,29.99,34.72,37.06,,18.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wootton Hill House Tiptoe Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On open lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 No note as to why no entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
