MARKINCH BALFOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 325 004,Long,-3.089831,Lat,56.19152,Elevation,127,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,0.9,1.78,2.93,3.83,1.1,4.89,4.38,2.61,2,3.75,3.51,5.48,3.51,2.83,1.66,4.62,4.29,2.52,5.7,,,2.85,
February,,,,,,,,0.2,1.07,2.09,0.91,1.16,1.43,1.23,3.05,2.11,4.16,1.89,3.27,2.72,2.11,5.44,4.64,1.47,0.78,1.51,,,0.55,
March,,,,,,,,1.05,1.17,2.9,2.32,0.93,2.9,0.6,3.79,1,1.78,1.22,2.39,0.32,0.58,1.19,2.54,1.87,2.09,1.44,,,0.79,
April,,,,,,,,1.99,0.85,2.4,0.29,0.29,1.98,2.3,0.56,0.53,1.25,3.22,2.99,1.37,0.31,5.1,1.47,0.12,1.63,,,,1.07,
May,,,,,,,,2.14,2.11,0.1,0.49,0.75,3.78,0.8,1,2.45,1.39,4.84,2.53,1.18,1.87,0.83,3.37,2.56,1.89,,,,,
June,,,,,,,,2.28,1.67,2.13,3.88,0.91,2.51,1.43,1.57,0.15,1.39,1.8,0.31,2.63,1.68,2.24,4.47,1.17,0.59,,,,2.5,
July,,,,,,,,1.12,5.24,1.98,1.06,1.46,4.02,0.15,1.9,3.4,2.92,5.78,0.25,1.36,0.98,3.77,3.09,3.38,1.48,,,,,
August,,,,,,,,1.6,2.63,0.94,2.57,5.31,2.68,2.73,0.7,1.79,3.17,1.83,3.41,0.53,0.86,2.57,5.11,2.45,4.05,,,,,
September,,,,,,,,3.44,2.66,1.28,0.51,5.77,2.11,2.35,2.88,0.36,3.7,2.38,3.33,5.34,2.3,1.82,3.99,2.93,1.43,,,,,
October,,,,,,,,1.97,3.4,3.39,2.2,2.14,3.81,1.71,5.95,7.1,2.18,3.11,2.14,2.51,3.9,3.1,4.47,3.35,2.38,,,,,
November,,,,,,,,2.64,2.27,2.56,2.52,5.39,1.45,2.23,2.46,4.16,2.48,0.45,1.65,1,1.56,4.21,5.44,2.33,2.58,,,,,
December,,,,,,,,1.26,3.87,2.76,3.78,1.55,3.03,1.85,3.73,2.05,3.65,1.02,6.21,1.82,4.43,2.21,3.64,1.41,1.23,,,,,
Total,,,,,,,,20.59,28.72,25.46,24.36,26.76,34.59,21.76,30.2,27.1,31.82,31.05,33.96,24.29,23.41,34.14,46.85,27.33,22.65,,,,,
