HEREFORD POOL COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO481311,Long,-2.7569,Lat,51.9768,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.2,3.64,2.67,2.23,0.72,3.74,0.45,0.94,1.97,1.43,4.86,0.74,1.36,3.06,1.12,0.67,5.33,1.18,1.92,3.33,2.45,1.28,3.55,3.72,2.94,,,,,3.98,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.62,3.66,1.37,0.42,2.29,2.97,2.95,-999,4.34,0.76,2.14,1.53,1.48,2.43,1.06,6.86,1.05,3.17,1.34,3.74,3.4,1.35,2.81,2.87,1.87,,,,,1.82,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.52,1.05,0.57,3.66,1.37,0.91,2.19,1.94,1.94,3.58,0.92,1.31,0.63,2.75,-999,1.55,0.54,2.64,4.65,1.37,1.48,2.09,0.05,2.98,2.7,,,,,2.72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,5.81,2.3,1.22,2.81,2.97,2.36,1.55,2.02,1.04,0.6,4.23,4.81,3.7,2.83,1.22,2.46,1.61,1,2.7,1.58,1.88,2.08,0.53,1.87,0.21,,,,4.46,1.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.34,3.63,2.78,1.32,1.55,2.21,1.28,2.13,1.38,2.4,4.16,0.33,2.98,1.65,2.37,0.8,1.35,3.04,0.41,1.14,-999,0.97,2.15,3.53,2.45,,,,2.28,3.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.43,2.51,1.01,1.55,0.4,1.47,3.31,1.31,0.03,0.78,1.59,3.82,4.68,1.5,3.6,3.59,1.91,2.74,1.47,2.17,5.59,5.56,2.07,2.53,2.29,,,,2.84,2.7,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.22,1.54,2.35,3.67,5.04,4.33,1.33,0.38,1.44,1.73,4.85,5.42,2.84,3.3,1.03,1.49,7.49,2.01,2.71,2.32,1.48,5.92,1.17,1.99,2.36,,,,2.77,0.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,0.5,0.88,1.76,2.75,1.72,3.08,1.98,3.25,1.34,1.49,3.26,4.19,2.91,1.14,4.41,0.71,3.19,2.02,1.93,4.67,2.16,2.66,1.47,3.7,1.99,,,,4.88,1.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.94,2.04,1.15,4.38,1.39,1.18,3.48,1.96,4.72,3.17,3.32,4.2,3.41,3.31,0.75,1.87,3.06,4.22,2.31,1.99,1.8,5.57,2.22,5.8,3.56,,,,2.63,2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.67,1.63,-999,2.53,5.71,5.07,5.57,2.86,1.99,3.18,2.5,1.1,0.53,5.45,3.56,3.44,1.24,4.79,3.63,2.64,2.39,4.12,2.11,3.35,1.06,,,,5.45,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,4.2,1.65,1.5,3.85,5.38,2.11,3.66,-999,1.54,2.56,1.92,0.63,5.03,1.68,3.97,2.24,2.16,4.8,4.41,2.09,6.81,5.88,6.24,4.45,7.38,,,,2.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,0.82,2.25,1.67,6.04,1.72,4.42,4.01,3.73,3.6,5.28,4.3,0.66,3.32,5.18,1.87,2.95,1.16,0.52,3.11,3.1,-999,3.15,0.33,2.99,1.11,,,,1.04,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,27.27,26.78,22.43,35.21,30.26,33.85,31.76,24.56,25.33,26.96,38.05,28.74,32.87,34.28,26.84,28.63,29.09,32.13,30.59,30.14,35.64,40.63,24.7,39.78,29.92,,,,,34.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
