KIRKBY-MALLORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK457006,Long,-1.3266812,Lat,52.601274,Elevation,386,ft,,,,,,,,,,,,
Station no,2500/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.23,3.12,5.05,,3.39,4.04,4.53,2.42,1.9,,,,,
February,,,,,,,3.2,0.78,1.22,,3.23,1.27,1.01,1.68,2.21,,,,,
March,,,,,,,3.02,0.32,1.97,2.14,2.07,1.86,1.12,0.11,0.63,,,,,
April,,,,,,,2.61,0.03,1.44,2.55,1.38,1.65,0.96,2.18,1.03,,,,,
May,,,,,,,1.96,1.5,1.24,1.21,2.6,3.09,2.65,0.59,2.58,,,,,
June,,,,,,,0.54,1.36,1.37,0.8,1.03,0.17,2.45,1.65,3.26,,,,,
July,,,,,,,2.82,2.65,4.39,3.85,4.62,1.93,1.2,2.54,2.96,,,,,
August,,,,,,,0.59,2.3,4.38,0.47,3.93,2.05,1.57,1.85,1.34,,,,,
September,,,,,,,1.6,2.36,0.9,0.86,0.37,1.03,1.6,4.47,0.68,,,,,
October,,,,,,,2.08,2.21,4.67,2.87,2.71,3.51,2.46,2.85,4.21,,,,,
November,,,,,,,1.46,2.74,4.21,4.89,2.73,1.55,1.84,3.44,0.21,,,,,
December,,,,,,,1.96,3.52,1.43,1.87,1.2,2.54,0.94,1.85,2.23,,,,,
Total,,,,,,,25.07,22.89,32.27,,29.26,24.69,22.33,25.63,23.24,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
