TORQUAY-COCKINGTON-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SX890639,Long,-3.56529,Lat,50.46439,Elevation,180,ft,,,,,,,,,,,,
Station no,RR7442,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.94,1.76,4.38,6.7,1.69,7.57,1.84,1.65,1.8,4.66,1.19,5.09,8.92,,,,,,
February,,1.85,2,2.95,7.42,0.99,4.54,1.85,2.77,0.55,6.53,2.29,4.6,2.46,,,,,,
March,,,2.4,5.15,3.05,6.93,1.25,0.93,3.76,6.48,1.03,2.77,6.06,5.18,,,,,,
April,,5.09,,1.78,1.41,3.53,1.06,4.77,2.76,2.23,2.31,1.62,0.21,5.18,,,,,,
May,,0.68,1.51,2.91,2.77,0.92,1.59,4.05,2.23,1,2.73,0.74,1.52,3.43,,,,,,
June,,1.31,3.76,2.15,1.41,3.32,2.41,2.51,0.44,4.66,1.94,2.49,4.5,0.76,,,,,,
July,,1.74,2.48,4.77,5.56,0.74,0.89,2.06,1.94,2.7,2.91,0.44,2.14,0.42,,,,,,
August,,0.98,2.54,4.16,3.1,3.73,1.64,1.22,5.59,2.29,5.47,0.86,8.36,1.3,,,,,,
September,,5.23,2.69,4.17,2.19,2.42,0.99,1.15,3.27,1.7,0.21,2.29,1.31,2.81,,,,,,
October,,2.06,3.82,9.1,2.39,2.65,5.69,8.57,2.93,9.07,5.25,5.1,4.73,4.02,,,,,,
November,,0.71,5.43,2.16,1.72,5.95,4.11,5.18,1.02,1.39,5.11,5.2,2.22,4.85,,,,,,
December,,8.11,3.54,5.99,3.28,1.37,1.77,5.72,4.33,7.28,8.16,12.49,6.51,2.32,,,,,,
Total,,,,49.67,41,34.24,33.51,39.85,32.69,41.15,46.31,37.48,47.25,41.65,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observations taken by trained assistant,,,,,,,,,,,,,,,,,,,,
1901 Mar 2-6 No record,,,,,,,,,,,,,,,,,,,,
1902 Apr 1-5 No record,,,,,,,,,,,,,,,,,,,,
