"EBBW VALE WATERWORKS",,,,,,,,,,,,
Grid ref,SO155139,Long,-3.227277,Lat,51.817315,,,,,,,
Station no,4172,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.64,3.89,2.75,9.73,10.41,2.33,8.15,3.41,4.52,3.14,,
February,6.38,2.13,2.48,6.27,8.37,2.18,4.41,3.42,3.41,1.31,,
March,1.06,4.32,3.50,11.37,3.24,8.89,3.61,2.99,5.82,6.04,,
April,2.69,5.99,4.03,2.81,4.00,6.81,1.31,6.04,3.35,4.96,,
May,3.83,1.72,3.19,6.02,3.99,0.41,4.20,4.46,4.08,2.44,,
June,3.72,2.87,5.21,2.59,1.90,5.88,2.55,6.69,1.44,4.06,,
July,2.56,2.59,2.18,3.22,4.82,1.36,1.47,3.60,5.57,4.17,,
August,5.49,3.53,4.38,8.61,3.97,7.02,3.46,4.66,8.00,2.27,,
September,2.12,3.81,3.53,6.80,3.55,3.86,1.78,1.34,4.24,4.10,,
October,8.35,3.92,5.90,15.78,2.45,3.82,9.22,8.57,3.83,13.86,,
November,6.90,2.90,6.64,2.85,3.57,6.64,5.10,3.86,4.01,2.83,,
December,10.46,8.57,5.21,6.43,5.52,2.46,3.29,9.26,5.93,12.50,,
Total,60.20,46.24,49.00,82.48,55.79,51.66,48.55,58.30,54.20,61.68,,
Calc annual,60.20,46.24,49.00,82.48,55.79,51.66,48.55,58.30,54.20,61.68,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
