CHESTER-NATURALIST,,,,,,,,,,
Grid ref,SJ405664,Long,-2.8919815,Lat,53.191343,Elevation,75,ft.,,
Station no,RR6564,,,,,,,,,
,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,1.1,,,,,
February,,,,,0.6,,,,,
March,,,,,1.9,,,,,
April,,,,,1.7,,,,,
May,,,,,0.9,,,,,
June,,,,,1.5,,,,,
July,,,,,1.2,,,,,
August,,,,,2.2,,,,,
September,,,,,0.7,,,,,
October,,,,,1.7,,,,,
November,,,,,2.1,,,,,
December,,,,,1.9,,,,,
Total,,,,,17.5,,,,,
,,,,,,,,,,
NGR is the Cathedral as the centre of Chester.,,,,,,,,,,
No information on the record to locate gauge. ,,,,,,,,,,
NGR could be +/- 2km or more and the altitude +/- 25 ft.,,,,,,,,,,
