GREENOCK W.W. ( DARNDAFF MOOR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS276731,Long,-4.760441,Lat,55.919996,Elevation,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
January,,0.8,7.7,8.7,10.3,6.3,6.3,6.4,6.2,6.6,,,,,9.6,1.9,5,2,7.3,10.3,January,9.8,5.2,6.7,10.7,6.5,5,9.1,4.8,9.8,8.4,9.1,8,7.3,7.1,6,6.1,8.4,3.2,6.96,4.73,8.87,13.07,6.73,10.23,7.48,6.9,11.3,12.1,15.6,2.9,9.2,7.5,12.7,8.7,10.3,3.2,7.6,10.4,11.2,5.7,4.5,2.1,10.5,7.5,9.2,4,10.8,9.2,10.1,8.4,5.9,6.8,6.9,5.3,8.5,5.3,5.4,9.9
February,,4.8,6.6,9,8.5,7.5,2.4,5.7,1.8,4.5,,,,,13.1,0.9,4.4,6.1,7.4,4.9,February,4.2,2.2,2.2,12.3,6.2,5.1,5,5.5,5,4.2,9,10.9,7.9,4.4,8.3,8.7,7.63,1.46,11.12,2.76,8.2,2.81,7.19,8.1,1.73,4.7,7.5,4.4,6.4,3.5,0.7,5.8,0.1,6.3,1.5,8.3,4.5,6.6,4.5,9.8,3.2,6.6,2.5,7.9,2.9,10.2,5.2,1.8,7.7,8.2,7.1,4,2.6,4,7.6,4.3,2,5.8
March,,7.3,6.8,3,4,5.2,4.7,2.4,4.6,3.6,,,,,5.5,5.4,8.6,8.6,3.2,5.9,March,0.4,3.2,5.5,12.6,4.1,7.5,5.7,6.3,7,2.9,4.5,2.1,9.5,7.5,7.9,3.7,2.47,3.33,2.93,3.37,8.68,12.03,2.83,3.7,1.72,3.1,7.1,5.8,6.3,1.2,4.7,2.2,2.6,4.9,3.9,2.6,5,2.3,8.7,5.2,6.4,3.4,6.8,3.5,1.9,5,3.3,4.6,7.2,3.4,4.3,4.4,5.4,2.1,5.1,2.3,3.6,8.3
April,,2.8,3,3.8,2.5,3.8,3.6,3.6,3.5,4.3,,,,,3,4.9,3,4.7,6,5.7,April,4.1,5,2.8,2.6,6.7,3.3,1.9,4.1,2,5.5,6.4,5.3,3.7,6.1,4.7,4.6,5.21,1.93,1.28,2.93,3.11,2.33,4.27,4.28,3.65,8.1,2.8,5.6,2.8,2.2,2.4,2.8,6.7,3.4,4.7,3.9,2.3,3.9,1.3,4.5,4.2,3.4,3.5,5.1,3.9,2.5,3.8,9.6,4,8.7,4.5,4.3,3.4,3.6,3.8,4.4,1.9,3
May,,4,3.6,3.7,5.7,3.7,4.6,1.4,6.5,3.9,,,,,3.9,0.2,1,3.9,2.7,5,May,4.8,2.1,3,4.1,3.3,2.5,7.2,7.7,3.3,4.1,5,5,2.5,3.9,3.3,1.6,6.04,4.83,3.81,1.39,6.43,4.01,5.9,2.91,5.8,9.5,3.3,4.5,2,6,2.5,6,3.3,4.2,3.4,0.7,3.2,2.6,4.1,2,1.3,2.6,4.3,3.7,5.7,6,1.6,5.2,2.1,3.2,1.9,2.5,2.4,3.5,4.3,4.9,5.4,2.8
June,,7.1,5.4,4.5,,2.1,2,1.9,4,1.7,,,,,3.3,2.3,5.5,8,4,2.4,June,4.4,3.9,2.1,3.3,4,1.7,1.7,5.7,4.4,4.1,2.2,5.3,7.3,5.3,1.1,2.2,2.59,4.18,2.07,5.16,2.86,0.95,3.12,2.11,3,1.7,4.3,4.7,7.8,4.2,3.8,8.2,2.8,3.2,3.6,4.8,2.2,3.8,7.9,2.2,1.6,1.8,3.3,4.8,5.7,5.1,4.5,4.7,7.1,1.6,2.7,2.4,4.4,1.7,6.6,4.6,4.1,2.6
July,,6.8,7.9,3.4,8.1,3.3,4,4.9,6.8,3.1,,,,,3.1,6.2,5.8,3.7,2.4,3.2,July,4.1,2.5,4.6,5.8,2.9,4.1,4.4,2.5,5.5,5.5,5.1,4.7,3.5,1.5,2.8,4.12,3.11,3.4,4.58,1.47,4.72,5.25,3.11,5.23,4.8,2.3,3.7,4.8,4.9,7.2,3.5,6.1,4.7,4.1,3.9,2.6,7.5,4.5,5.5,6.6,4,4.4,5.1,3,6.1,5.2,4.5,5.7,6.6,3.2,6.9,4.7,4.2,6.9,4.9,1.4,7.6,7.9
August,,5.9,3.9,6.5,3.8,3.8,3.9,4,4.7,7.7,,,,,5.3,8.2,3.8,8,8.8,2.2,August,6,6.7,3.6,9.9,6.8,6.6,5.8,8.6,5.6,4,9,6,9.3,1.9,5.3,3.37,4.57,4.49,6.05,3.76,7.33,7.15,3.41,8.92,4.8,4.5,5.7,7.3,5.3,7.4,7.1,2.3,4.1,3.9,5.3,3.4,3.1,4.3,3.4,2.5,4,6.1,6.1,9.7,4.4,3,3.3,0.1,8.4,5.7,8.1,5.3,8,6.3,7.2,1.9,7.7,6.6
September,,3.9,5.1,4.5,5.6,10.2,8.4,6.1,2.9,2.7,,,,,0.3,3.5,7.5,6.6,8,6.7,September,5.9,5.3,5.3,5.4,6.7,3.8,3.4,2.1,10.4,3.1,2.3,3.7,4.1,4,3.8,2.21,2.37,3.81,8.64,5.53,3.49,3.26,4.9,11.07,8.2,4.7,4.7,10.3,5.4,3,5.2,2.9,6.8,1.1,9.2,9.3,4.9,4.4,5.8,3.2,5.6,2.3,7.8,5.2,6.7,7.5,8.6,7.2,10.2,3.1,11.9,5.7,5.6,10.3,10.4,6.5,6.5,5.1
October,,3.6,5.8,7.8,8.6,5.4,5.6,4.2,3.6,5.2,,,,,4.7,5.1,5.2,4.8,4.8,6.6,October,9.5,6.1,4.2,12.2,4,5.3,8.7,7.2,2.7,11.1,4.3,5.8,8.2,5.9,4.4,4.12,9.75,11.07,11.04,0.71,3.9,6.25,2.84,9.86,4.9,7.5,10.3,7.8,11.3,9.4,11.5,8.1,9,3.7,10.4,14.2,7.6,4,13.3,4.6,8.6,7.9,9.7,12.6,7.6,8.3,0.8,3.8,10.8,8.5,8.4,2.1,9.1,5.5,13.3,6.7,4.8,7.6
