"GREENOCK W.W. ( DARNDAFF MOOR )",,,,,,,,,,,,
Grid ref,NS276731,Long,-4.760441,Lat,55.919996,,,,,,,
Station no,5304,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.80,6.90,5.30,8.50,5.30,5.40,9.90,9.30,2.40,5.50,,
February,4.00,2.60,4.00,7.60,4.30,2.00,5.80,5.00,3.00,6.60,,
March,4.40,5.40,2.10,5.10,2.30,3.60,8.30,2.10,4.50,4.20,,
April,4.30,3.40,3.60,3.80,4.40,1.90,3.00,3.00,5.30,7.30,,
May,2.50,2.40,3.50,4.30,4.90,5.40,2.80,5.20,1.90,3.30,,
June,2.40,4.40,1.70,6.60,4.60,4.10,2.60,4.80,4.40,3.50,,
July,4.70,4.20,6.90,4.90,1.40,7.60,7.90,8.30,7.30,6.00,,
August,5.30,8.00,6.30,7.20,1.90,7.70,6.60,5.90,2.10,4.50,,
September,5.70,5.60,10.30,10.40,6.50,6.50,5.10,5.70,1.70,4.00,,
October,2.10,9.10,5.50,13.30,6.70,4.80,7.60,6.50,7.70,4.70,,
November,9.20,2.90,12.70,12.20,4.40,3.60,3.30,2.70,8.20,8.50,,
December,11.50,7.30,8.30,10.10,11.90,9.60,8.30,8.70,12.00,7.90,,
Total,62.90,62.20,70.20,94.00,58.60,62.20,71.20,67.20,60.50,66.00,,
Calc annual,62.90,62.20,70.20,94.00,58.60,62.20,71.20,67.20,60.50,66.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
