GREENOCK W.W. ( DARNDAFF MOOR ),,,,,,,,
Grid ref,NS276731,Long,-4.760441,Lat,55.919996,Elevation,809,ft
Station no,5304,,,,,,,
,,,,,,,,
,1958,1959,1960,,,,,
January,9.3,2.4,5.5,,,,,
February,5,3,6.6,,,,,
March,2.1,4.5,4.2,,,,,
April,3,5.3,7.3,,,,,
May,5.2,1.9,3.3,,,,,
June,4.8,4.4,3.5,,,,,
July,8.3,7.3,6,,,,,
August,5.9,2.1,4.5,,,,,
September,5.7,1.7,4,,,,,
October,6.5,7.7,4.7,,,,,
November,2.7,8.2,8.5,,,,,
December,8.7,12,7.9,,,,,
Total,67.2,60.5,66,,,,,
