LEUCHARS BALMULLO,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 42713 20634,Long,-2.929109,Lat,56.374519,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4209,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.08,1.31,5.16,1.7,0.91,0.88,0.01,,,,,,,,
February,,,,,,1.6,3.7,1.85,1.18,4.23,2.28,3.03,,,,,,,,
March,,,,,,1.48,2.23,2.59,0.46,2.23,2.36,2.39,,,,,,,,
April,,,,,,0.83,3.88,2.28,1.5,2.12,2.61,0.35,,,,,,,,
May,,,,,,0.98,0.55,1.48,3.08,2.04,0.72,1.79,,,,,,,,
June,,,,,,3.82,2.97,3.18,2.21,3.88,1.45,2.13,,,,,,,,
July,,,,,,2.23,1.81,5.28,0.56,3.23,1.79,2.69,,,,,,,,
August,,,,,,1.95,3.32,7.61,3.81,3.91,0.37,5,,,,,,,,
September,,,,,,2.88,4.54,1.71,3.32,2.22,2.84,3.37,,,,,,,,
October,,,,,,3.49,4.21,3.46,2.07,1.09,0.86,3.39,,,,,,,,
November,,,,,,4.14,4.51,3.85,1.98,1.78,3.03,2.92,,,,,,,,
December,,,,,,1.7,7.91,2.27,1.75,1.27,1.3,1.9,,,,,,,,
Total,,,,,23.51,29.18,40.94,40.72,23.62,28.91,20.49,28.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Approximate Location,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4209,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
