"LEUCHARS, BALLMULLS, CUPLAHILL",,,,,,,,,,
Grid ref,NO 41592 20486,Long,-2.947219,Lat,56.373048,Elevation,300,ft,,
Station no,RR4209,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.19,,,,,,,
February,,,1.08,,,,,,,
March,,,3.09,,,,,,,
April,,,4.37,,,,,,,
May,,,2.51,,,,,,,
June,,,2.65,,,,,,,
July,,,4.19,,,,,,,
August,,,1.6,,,,,,,
September,,,1.73,,,,,,,
October,,,3.2,,,,,,,
November,,,3.36,,,,,,,
December,,,4.12,,,,,,,
Total,,,33.09,,,,,,,
,,,,,,,,,,
Approximate Location,,,,,,,,,,
,,,,,,,,,,
Station no,RR4209,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
