BOSLEY RESERVOIR,,,,,,,,,,,,
Grid ref,SJ927657,Long,-2.110705,Lat,53.188340,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.46,1.23,1.74,3.06,2.76,1.77,4.38,1.38,2.03,1.61,,
February,2.33,1.26,0.95,1.93,2.42,1.76,3.01,1.90,2.54,1.11,,
March,0.80,2.15,2.53,3.49,1.28,3.08,2.51,2.04,2.86,2.43,,
April,1.71,2.91,2.15,1.80,1.65,2.20,1.70,1.87,1.90,2.23,,
May,1.28,1.40,4.73,1.75,2.17,0.57,3.93,3.41,1.86,1.26,,
June,3.90,2.09,1.35,1.06,0.56,1.24,1.80,5.17,2.14,2.55,,
July,2.63,3.60,2.53,3.03,1.45,2.36,1.19,3.21,3.29,5.09,,
August,4.48,2.43,2.60,3.68,3.37,3.44,2.22,4.46,2.93,3.01,,
September,1.21,1.05,1.26,4.78,1.48,2.11,2.87,0.69,3.12,2.51,,
October,4.53,3.04,3.31,6.36,1.08,3.07,4.42,3.37,0.65,4.96,,
November,2.16,3.12,1.33,3.36,2.10,3.13,2.36,1.93,2.74,1.09,,
December,3.53,4.26,2.44,1.11,1.35,0.43,3.63,2.14,2.06,5.61,,
Total,32.02,28.54,26.92,35.41,21.67,25.16,34.02,31.57,28.12,33.46,,
Calc annual,32.02,28.54,26.92,35.41,21.67,25.16,34.02,31.57,28.12,33.46,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
