"BOSLEY RESERVOIR",,,,,,,,,,,,
Grid ref,SJ927657,Long,-2.110705,Lat,53.188340,,,,,,,
Station no,2771/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,3.82,1.71,3.23,2.66,5.23,1.80,3.30,2.73,5.40,,
February,3.68,1.28,1.21,3.23,2.08,1.03,2.15,4.90,0.73,2.20,,
March,5.48,2.54,1.72,2.39,2.78,1.53,2.98,1.58,2.29,1.19,,
April,3.18,3.23,2.90,0.50,1.77,1.91,0.70,1.06,2.54,1.29,,
May,2.11,2.54,1.95,2.92,3.39,1.15,1.44,2.82,0.97,1.78,,
June,1.61,2.61,2.63,3.60,3.29,3.01,1.69,5.40,1.28,1.94,,
July,3.05,2.26,4.83,5.61,0.81,4.98,5.26,4.82,2.01,4.26,,
August,5.48,1.97,3.97,5.48,0.88,8.83,4.68,5.59,1.36,4.64,,
September,2.58,3.32,2.73,4.00,2.39,2.57,6.75,4.61,0.21,4.59,,
October,0.87,3.80,2.05,6.15,2.63,2.37,2.78,3.63,2.65,5.64,,
November,8.13,2.26,2.20,5.69,1.99,1.72,1.96,1.85,4.46,5.01,,
December,3.81,3.51,1.65,4.72,3.32,3.89,2.96,3.54,4.91,3.55,,
Total,42.84,33.14,29.55,47.52,27.99,38.22,35.15,43.10,26.14,41.49,,
Calc annual,42.84,33.14,29.55,47.52,27.99,38.22,35.15,43.10,26.14,41.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
