BAMPTON-OAKFORD-(RECTORY-COTTAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SS909214,Long,-3.5546,Lat,50.9818,Elevation,650,ft,,,,,,,,,,,,
Station no,1795/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,3.18,5.13,1.58,6.37,9.09,7.66,9.97,3.61,4.9,,,,,,,,,
February,,,5,0.5,5.17,2.93,8.88,2.48,2.33,3.98,4.45,,,,,,,,,
March,,,3.95,3.62,1.56,3.7,5,0.65,2,3.39,4.6,,,,,,,,,
April,,,1.56,4.02,6.19,2.38,3.92,0.34,2.69,2.67,1.34,,,,,,,,,
May,,,3.13,2.17,2.24,0.73,3.02,3.36,1.19,1.93,2.42,,,,,,,,,
June,,,2.03,2.43,3.28,2.79,1.14,2.11,2.82,0.59,1.68,,,,,,,,,
July,,,2.04,1.41,0.78,8.56,2.53,3.97,8.64,5.38,2.14,,,,,,,,,
August,,,1.63,5.46,2.62,0.93,1.4,5.98,3.26,0.35,5.95,,,,,,,,,
September,,,1.72,3.06,5.91,4.82,3.35,1.77,0.86,2.47,0.96,,,,,,,,,
October,,,4.27,4.55,5.27,2.56,3.76,6.27,4.2,4.88,3.37,,,,,,,,,
November,,,1.17,1.97,7.47,5.44,2.83,7.72,11.72,9.98,3.68,,,,,,,,,
December,,,1.59,12.64,5.46,4.54,3.4,7.01,3.51,4.77,3.72,,,,,,,,,
Total,,,31.27,46.96,47.53,45.75,48.32,49.32,53.19,44,39.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge from Hemyock,,,,,,,,,,,,,,,,,,,,
"Observer lived at 1. Rectory Cottages - these were not at the Rectory, but nearer town. Found on 1970 OS map",,,,,,,,,,,,,,,,,,,,
