WESTON-UNDER-LYZIARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ806110,Long,-2.2884948,Lat,52.696328,Elevation,390,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.53,2.02,3.78,1.84,2.65,1.17,1.62,4.38,2.05,2.01,2.5,1.44,3.22,2.16,1.67,0.38,0.43,2.55,4.03,2.78,,,,,
February,,,,,,1.49,2.18,1.48,2.05,1.77,1.43,1.62,3.11,0.89,2.47,1.36,2.73,2.58,1.27,2.5,2.21,3,2.7,2.44,1.54,,,,,
March,,,,,,1.14,1.82,2.3,1.49,1.53,1.52,0.74,1.87,3.28,0.92,0.87,2.48,2.61,0.85,0.96,1.22,2.32,1.94,1.62,2.4,,,,,
April,,,,,,1.13,0.53,2.34,1.53,1.62,1.23,2.64,2.9,0.68,0.91,0.57,3.03,1.98,1.93,2.91,1.61,0.89,3.12,1.1,1.83,,,,,
May,,,,,,2.88,1.5,1.34,1.42,5.59,0.86,1.37,2.09,2.59,1.89,1.71,0.92,2.13,5.85,2.81,2.51,2.18,2.2,1.57,1.27,,,,,
June,,,,,1.25,2.32,2.99,2.04,0.32,1.13,0.73,2.51,5.25,2.49,1.28,3.15,3.15,1.25,3.51,4.73,3.66,2.17,5.74,3.11,1.63,,,,,
July,,,,,0.75,2.05,1.6,2.91,0.28,0.79,1.2,3.28,4.5,2.89,1.48,6.74,2.99,4.77,1.1,4.75,5.8,2.09,3.39,2.33,3.61,,,,,
August,,,,,1.35,3.96,4.33,1.54,3.61,1.86,2.7,2.4,3.69,2.52,2.78,3.2,2.36,4.72,5.97,6.59,1.23,4.16,2.42,1.36,2.34,,,,,
September,,,,,2.32,0.14,4.6,1.63,2.37,4.59,0.81,6.07,3.07,2,3.18,3.93,5,2.57,2.82,2.77,2.94,1.75,2.14,5.03,1.81,,,,,
October,,,,,2.1,4.09,2,3.62,2.15,1.59,4.46,3.13,5.7,2.45,1.9,5.3,2.82,2.37,3.65,1.37,4.76,2.75,6.2,3.05,1.51,,,,,
November,,,,,2.21,2.32,2.24,0.77,1.11,2.34,2.3,1,3.33,1.52,3.47,3.72,4.05,2.79,2.97,1.05,1.91,2.42,5.04,4.03,1.7,,,,,
December,,,,,,1,1.6,2.33,5.77,3.08,2.34,1.4,3.45,0.67,2.2,1.33,4.43,1.4,2.47,0.71,3.77,2.81,4.7,1.07,2.55,,,,,
Total,,,,,,25.05,27.41,26.08,23.94,28.54,20.75,27.78,43.34,24.03,24.49,34.38,35.4,32.39,34.55,32.82,32,26.97,42.14,30.74,24.97,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the rectory; the observer is a reverend. No altitude or relationship information on the record to check. Altitude is from OS map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
