"LYTCHETT MATRAVERS (KIT ROBINS)",,,,,,,,,,,,
Grid ref,SY938954,Long,-2.089264,Lat,50.758160,,,,,,,
Station no,1599/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,2.29,0.91,1.77,3.42,5.53,2.95,4.33,4.28,,,
February,5.92,0.61,1.49,3.02,2.29,0.11,4.54,3.26,0.31,,,
March,3.99,2.68,0.64,4.21,1.54,0.74,2.95,1.36,3.73,,,
April,2.98,1.62,2.56,0.12,0.59,2.02,0.17,0.74,2.77,,,
May,2.50,2.32,2.69,3.75,4.37,0.57,2.63,2.40,0.91,,,
June,0.38,0.77,2.06,2.83,2.38,2.46,1.61,3.80,1.12,,,
July,1.20,0.84,2.96,2.68,2.84,2.92,3.58,1.98,2.06,,,
August,5.09,3.11,1.85,3.07,0.37,4.14,3.26,3.50,2.74,,,
September,4.30,4.34,3.51,3.48,1.24,5.99,3.38,4.19,0.18,,,
October,1.28,4.43,3.73,3.09,4.38,2.44,2.88,3.63,3.02,,,
November,9.70,3.55,1.92,6.56,3.69,0.90,2.37,2.85,4.74,,,
December,2.77,3.15,0.86,3.61,5.93,5.80,2.79,4.39,7.85,,,
Total,43.36,29.71,25.18,38.19,33.04,33.62,33.11,36.43,33.71,,,
Calc annual,43.36,29.71,25.18,38.19,33.04,33.62,33.11,36.43,33.71,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
