LYTCHETT-MATRAVERS-KIT-ROBINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY938954,Long,-2.0891,Lat,50.75895,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1599/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.8,0.93,5.31,6.23,3.66,6.16,3.53,4.66,4.07,7.42,2.31,2.05,3.54,3.11,5.59,0.95,0.83,3.25,2.29,0.91,1.77,3.42,5.53,2.95,4.33,4.28,
February,,,,0.06,3.36,3.18,5.82,0.85,1.75,4.08,3.57,0.23,1.26,0.49,2.54,2.77,1.55,1.1,1.51,5.97,5.92,0.61,1.49,3.02,2.29,0.11,4.54,3.26,0.31,
March,,,,2.78,1.01,3.71,3.64,0.26,1.22,3.28,3.36,2.97,0.87,0.41,1.09,1.33,7.76,1.29,1.25,1.6,3.99,2.68,,4.21,1.54,0.74,2.95,1.36,3.73,
April,,,,1.77,4.18,1.82,2.21,0,2.38,1.47,2.01,2,0.87,1.82,0.85,2.51,2.38,1.79,1.63,2.71,2.98,1.62,2.56,0.12,0.59,2.02,0.17,0.74,2.77,
May,,,,0.87,1.06,0.59,4.91,1.66,1.37,1.2,2.38,3.93,2.68,0.51,2.5,3.64,2.49,2.26,2.33,1.62,2.5,2.32,2.69,3.75,4.37,0.57,2.63,2.4,0.91,
June,,,,1.24,4.04,3.25,0.41,0.84,2.62,0.25,2.36,0.43,1.02,2.16,2.72,3.81,1.51,2.21,0.76,0.94,0.38,0.77,2.06,2.83,2.38,2.46,1.61,3.8,1.12,
July,,,,0.27,0.55,4.31,1.94,2.77,4.22,2.69,1.86,1.42,2.31,2.81,1.09,1.2,1.09,1.28,0.78,5.19,1.2,0.84,2.96,2.68,2.84,2.92,3.58,1.98,2.06,
August,,,,3.63,3.4,0.18,1.62,2.68,3.8,0.07,4.21,4.67,2.05,2.96,2.22,4.11,0.59,3.76,1.42,3.4,5.09,3.11,1.85,3.07,0.37,4.14,3.26,3.5,2.74,
September,,,,2.31,3.64,3.03,3.61,3.46,1.61,1.66,0.89,3,2.23,1.98,3.54,4.94,1.44,3.05,4.03,4,4.3,4.34,3.51,3.48,1.24,5.99,3.38,4.19,0.18,
October,,,,1.63,6.94,1.84,5.7,4.23,6.29,4.93,0.91,4.72,4.88,5.12,4.29,1.45,0.99,2.46,7.55,1.39,1.28,4.43,3.73,3.09,4.38,2.44,2.88,3.63,3.02,
November,,,,2.25,8.72,3.5,1.51,6.03,6.68,8.67,1.82,1.92,1.9,7.37,0.89,5.87,1.75,1.95,4.26,5.97,9.7,3.55,1.92,6.56,3.69,0.9,2.37,2.85,4.74,
December,,,,9.7,5.25,3.62,4.2,4.19,1.91,3.12,2.43,4.47,3.54,3.07,4.61,3.98,2.76,5.15,2.12,2.41,2.77,3.15,0.86,3.61,5.93,5.8,2.79,4.39,7.85,
Total,,,,29.31,43.08,34.34,41.8,30.63,40.01,34.95,30.46,33.83,31.03,31.01,28.39,39.15,27.42,31.89,28.59,36.03,43.36,29.71,,38.19,33.04,33.62,33.11,36.43,33.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Transferred from River Division 4 Stn No 1606/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Mar Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 26 Inspection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
