"LANCASTER (BLEA TARN RES.)",,,,,,,,,,,,
Grid ref,SD495583,Long,-2.772221,Lat,54.018221,,,,,,,
Station no,3048,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.86,4.08,2.44,4.65,2.42,3.60,4.87,4.60,2.93,6.52,,
February,4.25,1.07,1.68,3.22,2.00,0.65,3.64,6.09,1.22,3.96,,
March,5.22,2.51,0.88,2.65,1.56,1.10,3.22,2.18,2.82,1.80,,
April,2.64,3.76,3.49,1.34,2.80,1.60,0.69,1.86,2.85,3.37,,
May,2.23,2.88,2.31,3.37,3.91,2.95,4.19,5.62,1.87,3.06,,
June,1.26,5.08,2.20,5.31,3.77,2.25,2.22,5.10,4.29,1.93,,
July,3.92,2.09,5.47,6.80,1.73,4.49,4.40,3.86,5.99,8.25,,
August,4.72,7.18,4.88,6.33,1.52,12.67,4.39,4.55,0.38,6.07,,
September,5.15,4.79,6.09,8.94,3.76,3.57,7.04,5.19,0.62,4.55,,
October,1.76,4.50,1.91,11.81,2.33,3.82,7.62,4.86,4.32,3.43,,
November,8.69,2.07,5.85,7.67,1.92,1.64,1.99,2.22,5.43,8.39,,
December,10.26,4.67,2.26,6.25,4.92,4.89,5.39,3.92,8.60,5.38,,
Total,54.96,44.68,39.46,68.34,32.64,43.23,49.66,50.05,41.32,56.71,,
Calc annual,54.96,44.68,39.46,68.34,32.64,43.23,49.66,50.05,41.32,56.71,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
