HOOK-CUM-WARSASH-SOLENT-COURT-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU509050,Long,-1.27776,Lat,50.842255,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.1,5.47,1.29,4.17,2.02,2.65,1.63,2.33,0.91,4.89,6.28,4.08,4.81,3.43,3.34,3.74,5.72,1.94,1.63,2.82,,,,
February,,,,,,,,4.05,2.01,0.9,1.24,1.68,0,3.54,0,3.02,2.96,5.25,0.49,1.12,3.36,2.74,0.35,1.33,0.46,1.88,3.32,,,,
March,,,,,,,,2.71,2.54,0.16,1.63,1.12,1.49,3.02,2.77,0.86,2.35,3.6,0.45,1.31,3.59,3.76,3.2,0.67,0.16,0.86,1.11,,,,
April,,,,,,,,1.73,1.83,1.06,2.43,2.86,2.58,1.16,1.92,2.92,2.01,2.75,0.03,1.99,0.94,1.42,1.49,0.97,1.8,1.27,2.47,,,,
May,,,,,,,,0.66,1.62,2.13,1.78,3,5.5,2.12,1.04,1.23,0.16,3.49,1.52,0.81,0.48,2.18,2.48,2.18,1.01,1.99,4.27,,,,
June,,,,,,,,1.78,2.23,1.2,0.42,2,1.36,1.44,0.94,3,3.55,0.89,0.49,1.28,0.28,0.99,0.55,1.37,1.78,2.47,3.8,,,,
July,,,,,,,,2.56,1.72,1.38,2.01,3.75,2.99,1.95,0.74,1.87,3.66,1.41,2.37,3.34,3.22,3.08,1.69,2.84,2.67,2.67,1.19,,,,
August,,,,,,,,4.02,1.97,1.77,3.32,4.74,1.41,0.94,3.12,3.76,0.37,1.5,4.49,2.4,0,4.83,3.05,1.39,1.67,1.64,3.84,,,,
September,,,,,,,,5.75,1.11,0.28,3.03,1.56,2.63,2.95,2.55,4.18,2.84,1.64,1.54,0.84,1.4,1.56,1.96,1.38,1.79,2.19,3.2,,,,
October,,,,,,,,1.98,5.71,4.44,2.59,0.5,6.76,2.04,2,4.69,1.02,3.11,3.71,7.95,3.95,1.09,3.82,3.74,4.15,4.1,0.78,,,,
November,,,,,,,,2.94,2.6,7.42,4.94,4.59,1.74,0.64,3.48,7.6,4.47,2.46,4.61,6.03,8.69,2.57,1.56,1.14,5.33,0.38,4.52,,,,
December,,,,,,,,3.91,3.31,6.59,3.57,0.49,1.46,0.68,9.14,3.17,2.78,5.66,3.02,1.64,2.43,2.11,3.57,2.36,2.29,4.59,2.96,,,,
Total,,,,,,,,34.19,32.12,28.62,31.13,28.31,30.57,22.11,30.03,37.21,31.06,38.04,26.8,33.52,31.77,29.67,27.46,25.09,25.05,25.67,34.28,,,,
