MULL EARRAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 299 205,Long,-6.366699,Lat,56.300144,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,4.77,1.24,6.42,3.01,3.84,5.57,2.7,2.85,1.85,2.43,4.21,3.81,5.25,2.54,2.7,2.85,5.6,6.8,2.9,3.05,2.24,3.03,,1.53,1,,
February,,,,0.2,4.61,1.45,2.65,2.64,0.35,0.94,3.81,2.95,3.86,4.65,4.01,1.81,0.86,3.95,2.76,3.96,0.7,1.15,,1.39,4.14,,4.7,1.4,,
March,,,,1.5,3.28,1.75,1.83,1.58,2.26,2.15,1.2,5.6,3.23,0.58,6.04,2.23,0.87,0.54,3.45,4,5.1,0.55,0.3,2.11,2.67,,3.94,3.25,,
April,,,,0.34,0.42,0.3,2.1,0.55,1,1.5,2.6,0.58,2.6,2.5,0.65,1.8,0.97,3.25,1.85,2.28,0.55,0.1,0.45,0.84,0.45,,0.2,1.8,,
May,,,,1.23,0.52,1.37,0.18,0.27,0.99,1.94,1.9,1.85,1.81,0.94,3.7,1.5,1.02,0.55,3.93,3.4,1.4,0.45,,1.28,2.88,,0.62,1.69,,
June,,,,2.45,0.42,0.97,2.8,2.1,0.4,1.9,2.65,4.1,3.3,1.4,0.61,0.72,0.4,1.1,3.3,0.8,4.9,1.32,,0.37,3.26,,2.17,2.65,,
July,,,,2.15,2,0.56,1.12,1.27,0.05,4,1.45,5.16,2.66,1.55,3.9,1.57,0.91,2.93,3.3,2.1,4.65,0.4,,1.3,4.16,,4.6,4.79,,
August,,,,1.36,2.77,1.46,3.35,1.54,1.48,3.02,1,2.35,2.58,4.35,3.5,0.49,1.9,2.59,5.39,2.3,5.97,1.7,,2.14,2.63,,5.13,2.76,,
September,,,,2.28,2.42,1.19,0.66,0.15,4.41,9.76,2.63,1.63,4.21,1.59,3.3,2.55,1.38,2.67,3.3,5.65,4.3,3.06,,3.69,0.3,,6.55,4.18,,
October,,,,3.15,5.54,0.96,6.1,5.57,3.14,1.86,0.68,2.85,5.66,5.95,4.75,2.87,1.75,1.69,3.05,2.66,6.54,2.5,,2.65,3.22,,1.69,1.77,,
November,,,2.2,3.68,2,2.23,1.1,12.61,1.25,2.18,5.05,6.8,4.68,4.77,7.09,1.8,3.94,2.7,4.35,4.05,6.31,1.9,3.34,2.13,7.82,,1.25,1.87,,
December,,,4.22,0.67,0.76,1.09,3.45,5.71,1.22,3.16,5.18,4.89,4.58,5.6,3.62,3.66,4.74,4.79,5.94,5.22,0.75,1.97,2.72,1.85,4.22,,1.8,4.6,,
Total,,,,23.78,25.98,19.75,28.35,37.83,22.12,35.11,31,40.61,41.6,38.09,44.98,26.25,21.28,29.46,43.47,42.02,47.97,18,,21.99,38.78,,34.18,31.76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation low confidence at ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observatory or houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erraid Lighthouse Shore Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for Dubh Artach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
