BALCOMBE-STOCKCROFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ3104130507,Long,-0.1315,Lat,51.059,Elevation,341,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.54,1.24,2.64,6.01,1.46,6.66,1.78,2.24,1.6,4.05,1.77,2.85,5.52,1.09,4.15,2.15,1.65,3.84,6.19,4.39,3.79,5.52,1.97,2.77,4.42,4.55,2.88,5.7,1.37,4.42,2.81,3.67,2.64,3.29,1.18,5.83,7.3,4.14,6.42,2.63,2.77,3.36,7.02,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.77,1.45,1.69,3.64,0.76,3.49,1.99,1.6,0.43,5.06,2.38,2.84,1.37,5.81,5.7,5.44,1.19,1.7,2.91,0.94,0.78,3.39,5.78,0.84,5.59,3.25,5.54,2.07,0.89,1.27,2.49,0.78,3.34,0.27,4.77,2.63,6.27,1,1.79,3.33,4.08,0.62,2.08,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.96,2.45,2.35,3.62,1.25,4.37,1.79,1.23,3.09,4.46,1.74,2.37,4.88,3.74,6.53,0.94,4.37,2.11,1.13,4.48,2.26,1.96,2.82,2.89,2.08,0.92,0.44,4.08,2.76,0.03,1.51,0.49,1.92,3.57,3.44,0.54,2.11,3.99,0.67,1.5,3.68,3.62,3.26,0.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.19,3.2,1.17,2.61,1.73,2.12,0.84,4.26,2.67,1.71,2.68,2.05,0.09,3.77,1.96,2.03,1.62,2.31,3.55,2.41,3.13,1.29,3.95,3.15,3.72,3.26,4.25,2.1,2.32,0.91,2.23,4.15,3.11,0.79,3.1,4.23,2.72,3.74,0.3,2.85,1.41,1.46,1.68,1.67,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.11,1.44,2.98,2.4,3.97,0.61,2.08,2.69,2.47,1.88,2.57,1.88,1.55,2.46,1.62,4,3.07,1.64,1.34,0.54,1.02,2.03,1.06,3.5,4.52,3.37,1.78,1.08,1.38,2.97,2.88,3.07,3.51,1.7,0.77,1.99,0.52,2.26,2.61,1.87,1.82,2.29,3.62,3.35,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.46,1.64,3.85,4.38,1.12,4.35,2.1,2.39,2,2.77,2.36,2.4,3.41,0.67,0.64,0.66,2.83,1.76,1.3,0.91,1.47,0.03,1.83,0.47,3.46,0.15,4.18,5.19,3.13,1.65,0.67,2.11,1.95,1.87,1.56,3.6,3.83,1.39,0.86,1.63,0.28,1.66,0.16,1.91,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.49,2.17,2.03,4.11,0.75,0.37,1.91,1.13,3.03,3.18,3.25,0.35,1.52,3.34,1.74,5.12,1.05,2.96,6.52,2.21,5.97,0.4,5.07,4.72,5,4.46,1.63,3.26,1.65,3.02,2.97,3.56,4.03,2.45,2.47,0.81,4.84,0.99,1.98,2.9,2.93,2.89,2.27,2.47,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.79,1.65,5.7,4.9,1.79,3.61,0.83,2.43,5.11,3.24,2.87,1.69,7.52,1.92,1.68,2.91,3.71,7.91,1.3,3.25,1.67,2.24,3.65,2.04,3.41,2.3,2.49,5.69,3.04,3.08,4.59,4.16,0.78,1.23,2.29,4.43,0.62,1.32,1.4,2.7,0.15,5.05,3.71,1.68,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.35,2.24,0.93,3.38,2.35,2.37,1.55,0.77,1.32,3.38,0.38,1.7,3.81,2.87,1.49,2.16,2.11,2.2,5.84,1.55,4.49,0.98,2.28,2.19,4.31,2.67,0.63,5.73,0.94,1.24,3.37,2.08,2.52,3.65,2.26,5.26,2.31,3.17,3.57,0.97,1.52,0.37,2.49,1.77,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.47,2.98,2.42,7.96,2.58,2.03,5.07,5.47,2.1,7.85,3.3,4.75,4.42,5.16,2.29,3.51,6.12,5.36,2.14,0.71,1.87,1.88,1.43,7.86,4.09,4.98,2.69,2.7,7.61,4.78,1.96,0.66,8.14,2.13,2.73,5.56,1.97,3.16,4.44,5.87,4.19,1.11,4.46,3.6,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
