LOCHBROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 182 851,Long,-5.061465,Lat,57.819259,Elevation,48,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.46,9.02,4.27,10.02,5.25,4.42,4.11,5.9,6.81,7.97,4.49,4.46,,6.72,2.44,3.72,0.5,6.47,4.67,11.08,3.78,6.8,6.3,3.22,3.45
February,,,,,,3.09,9.42,4.74,12.72,6.89,1.16,4.67,2.12,2.36,1.76,2.3,4.58,,2.54,1.42,5.05,2.32,4.97,5.44,4.53,5.73,2.11,4.26,3.02,5.7
March,,,,,,3.82,3.73,2.53,5.55,2.63,1.1,3.95,1.62,1.43,6.88,2.72,6.75,,4.47,3.97,1.55,6.63,10.5,2.33,3.61,4.49,2.28,1.75,4.71,4.4
April,,,,,,1.46,2.59,5,2.48,2.41,6.44,1.41,2.83,3.05,4.69,1.84,3.07,,0.6,0.84,2.36,1.24,2.03,1.93,0.92,0.83,3.05,2.53,4.56,2.24
May,,,,,,1.54,2.16,1.91,2.26,1.74,1.58,1.11,3.91,2.38,1.45,4.17,2.16,,3.67,2.3,2.82,2.85,2.66,3.74,4.3,3.69,2.85,3.16,4.46,1.1
June,,,,,,0.76,1.27,2.98,3.88,1.67,2.36,0.72,5.66,2.49,5.41,3.05,2.76,,1.32,2.09,4.5,2.85,3.93,1.39,1.6,2.91,3.46,1.4,1.33,1.21
July,,,,,,3.15,1.91,2.1,0.58,2.46,3.62,3.55,1.8,3.54,2.9,4.77,2.53,,2.53,4.83,3.85,4.16,4.94,4.29,5.13,1.27,3.33,3.4,2.04,1.27
August,,,,,,3.47,4.86,1.86,8.26,1.74,2.21,3.44,2.77,5.75,4.25,3.81,2.63,,3.88,4.71,0.69,3.65,5.14,6.79,1.94,1.48,3.45,3.71,2.93,3.96
September,,,,,,2.25,5.62,5.4,2.07,6.17,4.68,1.76,6.9,5.07,4.28,4.05,3.17,,8.72,5.32,2.12,1.41,3.72,3.94,4.24,6.81,3.74,4.48,1.42,3.98
October,,,,,,4.58,3.19,8.35,8.52,5.65,5.2,5.04,7.72,9.8,11.04,2.97,3.7,,8.69,3.84,4.7,3.91,1.21,7.39,6.97,7.71,3.44,4.42,6.67,4.01
November,,,,,,3.66,9.25,3.27,4.52,10.59,4.17,2.69,6.67,5.16,6.12,4.77,1.58,,5.59,3.56,8.04,7.53,6.66,8,8.64,3.38,5.89,4.42,7.64,6.81
December,,,,,,5.06,10.05,7.91,4.63,5.63,4.88,5.04,3.35,8.16,4.35,4.19,5.07,,9.07,5.32,6.76,5.18,5,7.87,7.22,10.16,8.86,5.39,3.21,5.64
Total,,,,,,38.3,63.07,50.32,65.49,52.83,41.82,37.49,51.25,56,61.1,43.13,42.46,,57.8,40.64,46.16,42.23,57.23,57.78,60.18,52.24,49.26,45.22,45.21,43.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Confidence on Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
