NEWCASTLE FAIRLEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ3730630260,Long,-5.8963,Lat,54.20301,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.69,15.59,3.16,5.51,2.45,1.28,3.66,10.3,7.99,4.03,4.52,5.63,2.56,5.12,6.43,2.26,3.63,5,5.68,3.5,2.15,,,
February,,,,,,,8.44,3.45,3.66,7.11,3.79,10.25,5,7.14,6.56,6.71,3.34,1.63,0.42,3.77,2.75,0.24,1.71,6.19,4.34,0.99,4.93,,,
March,,,,,,,5.02,2.83,1.85,3.67,4.48,6.17,3.38,2.02,5.6,4.31,6.66,1.8,4.43,4.81,2.7,2.25,0.96,1.52,1.47,4.03,6.44,,,
April,,,,,,,3.05,6,4.77,3.41,6.65,3.21,5.4,2.16,2.66,2.73,3.9,2.31,1.87,4.77,2.62,5.81,0.99,1.66,3.34,3.58,1.24,,,
May,,,,,,,0.22,5.47,7.98,3.15,0.97,3.35,3.2,3.92,2.76,1.99,7.32,1.4,5.05,3.93,2.3,3.44,4.59,2.76,3.78,0.14,0.32,,,
June,,,,,,,4.26,4.02,4.08,8.49,1.64,5.47,3.39,1.9,0.81,0.9,1.55,0.87,6.52,0.36,3.57,4.45,3.64,1.68,4.09,1.29,3.29,,,
July,,,,,,,1.57,5.2,1.04,6.4,4.33,2.4,5.62,3.63,4.62,1.54,4.54,3.99,6.85,6.12,2.71,1.87,3.11,2.65,2.6,4.72,9.38,,,
August,,,,,,,4.56,4.43,4.5,6.73,0.78,4.09,5.69,5.94,2.41,4.51,1.83,2.5,4.69,6.37,4.12,8.26,7.61,6.42,2.97,5.79,1.94,,,
September,,,,,,,7.47,3.8,6.05,8.15,4.3,3.72,4.58,6.86,3.49,8.11,3.99,3,1.96,1.86,2.76,4.74,3.07,1.63,0.65,0.6,8.55,,,
October,,,,,,,6.02,5.54,3.01,1.17,2.69,3.94,6.13,3.66,2.83,5.62,6.42,1.36,1.64,6.07,0.89,6.78,5.68,1.62,12.44,3.58,3.33,,,
November,,,,,,,11.11,9.88,2.07,0.89,5.08,8.5,7.38,5.52,6.41,3.25,5.45,3.03,6.3,2.07,14.83,6.79,5.96,1.52,4.78,5.98,2.04,,,
December,,,,,,,14.3,7.09,2.96,3.53,3.03,6.31,5.82,2.01,5.28,1.54,7.54,3.49,7.05,4.1,3.45,8.66,2.48,5.85,5.31,4.6,8.83,,,
Total,,,,,,,68.71,73.3,45.13,58.21,40.19,58.69,59.25,55.06,51.42,45.24,57.06,31.01,49.34,49.35,49.13,55.55,43.43,38.5,51.45,38.8,52.44,,,
