AUCHENCAIRN TORR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX800527,Long,-3.870755,Lat,54.854661,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,
January,5.18,4,9.12,4.49,5.7,6.32,2.92,10.21,5.01,2.49,0.95,0.9,2.8,7.39,7.88,3.75,5.01,3.43,2.6,3.54,4.63,2.26,3.94,1.1,4.53,1.85,3.42,1.87,3.44,6.53,5.28,3.89,3.23,5.84,3.11,1.59,6.44,2.67,5.35,4.08,3.81,3.01,4.13,6,3.71,4.5,5.17,2.77,6.8,4.54,6.47,8.53,5.21,3.72,6.4,4.45,6.97,4.93,12.67,3.52,6.63,5.68,6.86,5.34,7.25,1.12,5.45,4.23,5.91,6.62,4.08,0.83,6.83,6.01,5.27,4.4,6.61,4.43,9.43,3.38,3.03,,,,,,,,,,,,,,,,,,,
February,3.65,3.3,4.9,2.07,2.71,2.08,6.01,3.76,3.4,2.28,4.61,4.25,3.96,3.19,6.74,5.12,1.89,1.95,0.81,3.09,0.97,0.37,1.78,6.12,8.01,0.79,2.67,3.01,5.04,3.86,4.53,1.47,2.26,3.6,2.94,2.9,3.65,4.08,4.24,2.55,6.39,6.64,3.85,2.94,5.68,7.64,5.18,1.39,6.05,1.33,3.87,0.62,5.52,6.33,0.98,6.18,6.35,3.36,4.35,1.74,0.49,3.94,0.08,4.48,0.49,5.17,2.3,6.44,2.25,5.65,1.33,2.99,1.79,3.96,2.01,5.78,3.49,0.62,3.43,2.89,4.22,,,,,,,,,,,,,,,,,,,
March,2.59,3.09,4.29,4.19,3.02,1.68,5.21,3,2.22,3.1,2.4,4.58,4.46,1.72,4.46,5.56,4.61,1.88,2.07,3.01,2.8,1.96,1.31,2.18,1.98,4.31,5.51,6.84,1.32,3.57,0.4,2.59,2.94,8.77,3.52,3.79,3.06,5.11,4.68,4.63,2.85,1.12,6.62,5.2,5.11,2.01,1.55,2.47,2.8,4.62,5.7,7.23,2.95,2.07,1.7,1.47,2.91,4.4,4.7,1.48,3.12,1.14,3.26,2.65,2.65,1.39,3.22,2.25,2.53,3.46,4.99,3.87,4.66,1.49,0.32,3.24,3.68,5.9,4,2.73,5.75,,,,,,,,,,,,,,,,,,,
April,1.53,2.6,1.7,0.28,1.75,1.8,2.43,2.89,2.55,1.65,3.41,1.98,4.2,3.17,1.92,2.44,2.16,2.65,1.78,2.41,1.27,2.81,1.27,1.33,2.76,2.71,2.41,3.37,4.11,3.98,3.3,2.91,1.66,1.97,3.26,3.94,1.01,3.32,2.36,4.33,2.8,4.04,1.1,4.27,1.96,3.41,3.49,2.18,0.87,2.75,3.88,2.03,2.47,4.45,2.97,4.66,2.71,2.51,2.1,1.6,2.21,2.14,4.89,1.99,3.93,3.76,0.92,4.14,0.44,2.29,2.69,2.07,2.4,2.82,2.81,2.48,1.48,6.17,2.9,4.6,4.36,,,,,,,,,,,,,,,,,,,
May,5.28,2.04,2.81,3.22,1.06,2.54,0.32,4.02,4.14,2.05,1.96,3.44,1.41,1.87,3.63,2.3,4.76,1.57,2.24,2.87,3.61,1.81,5.01,2.7,4.3,0.13,0.54,2.39,3.22,4.28,3.64,1.28,2.52,3.46,3.2,3.09,6.33,4.48,3.36,3.32,2.63,3.75,2.12,4.16,2.16,1.48,4.51,3.79,2.65,1.21,6.07,3.12,3.28,2.7,5.06,7.5,2.17,2.75,1.97,3.59,1.66,3.66,3.49,3.58,4.21,0.72,1.45,1.55,6.16,0.19,0.77,3.61,4.37,5.42,2.67,5.2,1.05,5.75,2.88,1.76,2.27,,,,,,,,,,,,,,,,,,,
June,1.77,1.8,6.87,1.93,1.5,4.17,4.26,5.11,3.24,5.37,2.41,5.12,3.54,2.57,0.65,1.57,1.11,0.61,1.83,1.31,4.76,1.14,3.57,1.83,4.49,1.69,4.44,4.41,2.33,3.43,4.71,3.67,1.85,3.14,1.69,2.58,1.79,7.84,2.82,2.97,1.15,3.04,7.29,2.93,0.9,1.21,2.44,2.46,2.04,2.44,2.57,0.42,1.76,1.48,2.41,0.36,3.44,5.4,7.31,2.36,2.67,6.15,1.29,2.78,3.05,4.26,3.96,3.4,6.75,2.87,1.18,0.35,1.01,3.71,4.08,4.07,4.33,3.75,5.49,0.9,3.28,,,,,,,,,,,,,,,,,,,
July,1.18,5.47,3.7,6.33,3.13,2.38,2.48,5.17,0.75,7.26,3.51,3.33,5.9,1.44,5.95,3.08,4.15,3.96,5.55,3.32,3.4,2.05,3.25,3.42,2.16,7.28,6.12,2.96,0.47,3.44,3.58,4.56,3.67,5.04,3.1,0.84,3.18,3.33,3.96,6.39,4.13,2.68,3.75,1.04,3.45,4.51,3.69,2.3,4.23,1.02,5.12,4.48,5.24,4.11,4.79,2.09,4.39,3.64,4.53,4.95,2.2,5.36,4.26,3.62,2.15,2.49,4.54,5.51,8.82,4.83,4.52,4.19,3.18,3.62,4.83,3.75,3.99,4.97,3.35,4.2,4.56,,,,,,,,,,,,,,,,,,,
August,0.97,3.53,5.2,5.9,5.7,2.94,4.22,7.65,5.13,5.42,0.91,4.01,4.34,6.33,2.84,3.86,3.57,2.76,3.51,4.43,3.58,7.66,7.42,5.02,4.69,7.54,2.69,5.99,7.82,1.91,7.11,5.05,3.43,6.1,6.14,5.62,6.76,6.23,5.3,2.35,8.66,2.85,6.66,2.44,4.32,3.35,4.25,6.09,5.09,3.85,3.99,8.39,3.77,10.16,5.46,5.07,3.83,5.93,7.25,7.13,7.89,3.14,2.5,1.96,6.86,3.05,3.38,2.99,3.4,1.6,1.05,6.43,3.95,7.2,4.25,1.5,4.36,0.19,6.64,3.4,8.39,,,,,,,,,,,,,,,,,,,
September,4.09,1.91,6.39,4.1,4.68,6.31,5.7,3.1,4.2,5.34,3.06,3.83,3.9,5.71,3.68,10.8,7.28,5.17,1.54,2.61,3.59,5.35,5.74,2.82,0.19,0.75,5.83,4.64,4.55,4.75,3.22,2.77,2.97,4.32,3.99,2.06,1.56,1.52,5.56,3.64,1.1,2.83,2.59,4.02,2.4,1.54,2.3,4.06,7.84,4.73,3.67,2.46,3.05,5.38,7.52,3.66,4.48,8.9,3.55,1.04,4.42,1.43,5.64,1.07,6.22,6.7,6.63,4.03,4.5,2.64,3.4,2.63,4.1,3.31,5.65,5.27,6.8,4.17,6.88,1.6,10.18,,,,,,,,,,,,,,,,,,,
October,6.6,5.02,5.35,8,10.85,5.75,5.31,8.1,4.14,3.19,1.01,3.25,4.98,4.62,3.15,6.18,6.15,3.25,2.41,5.62,2.7,6.66,3.5,5.57,6.21,5.4,4.23,3.5,4.34,3.31,5.64,5.67,3.75,11.02,3.02,3.38,6.84,8.35,2.36,11.65,4,4.02,5.34,2.89,1.59,3.98,8.31,9.6,6.54,2.26,2.45,3.01,2.46,7.79,4.92,5.67,3.81,4.95,10.02,7.69,8.78,4.24,7.35,2.82,6.15,7.89,4.66,4.43,9.49,4.02,4.96,5.88,5.81,8.39,5.7,6.06,0.79,1.65,5.59,6.77,3.66,,,,,,,,,,,,,,,,,,,
