CRAVEN ARMS STOKESAY VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO438816,Long,-2.827982,Lat,52.429478,Elevation,371,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,,,2,3.38,7.59,3.81,,,,4.85,2,1.34,0.46,0.72,2.67,4.47,3.39,2.14,4.43,1.67,0.95,0.66,4.73,2.37,2.13,1.76,2.68,4.73,0.66,2.06,0.47,4.2,2.9,2.53,1.35,2.76,2.96,0.39,3.94,1.44,0.69,1.06,1.99,,,,,,,,,,,
February,,,,,,,,,,,2.58,1.8,2.99,0.71,,,,3.11,1.26,2.51,2.59,4.03,1.86,3.88,2.74,2.98,1.1,0.42,0.59,1.45,0.72,0.04,1.74,4.08,2.31,0.15,0.4,2.04,1.77,3.96,4.25,1.37,0.94,2.55,4.98,1.38,1.71,1.79,1.44,0.83,4.11,,,,,,,,,,,
March,,,,,,,,,,1.86,2.17,1.66,3.16,3.31,,,,2.13,0.74,1.21,1.58,2.17,2.57,1.08,2.09,1.4,2.64,1.36,2.66,2.47,1.31,1.35,0.74,1.04,1.57,1.6,2.84,3.44,0.76,1.02,1.14,3.32,1.26,4.37,1.2,4.49,1.11,1.18,3.12,3.07,0.93,,,,,,,,,,,
April,,,,,,,,,,1.31,0.62,2.55,3.51,1.46,,,,2.67,1.22,2.29,1.44,1.13,4.19,1.5,1.59,2.6,1.24,0.8,1.14,5.74,1.19,2.37,0.56,0.33,2.11,2.26,1,2.21,2.07,2.87,0.87,2.32,2.87,1.51,1.36,2.36,0.97,2.56,3.31,2.35,1.98,,,,,,,,,,,
May,,,,,,,,,,5.15,1.88,0.87,1.44,2.08,,,,2.99,5.69,2.02,2.96,1.58,2.92,1.51,0.65,2.88,8.08,1.85,0.95,4.4,2.55,3.68,2.51,3.07,3.4,0.54,0.22,1.05,3.86,1.69,2.87,0.92,2.38,3.37,2.23,0.61,1.95,2.53,3.48,0.81,1.71,,,,,,,,,,,
June,,,,,,,,,,1.04,0.42,2.97,3.97,2.4,,,,1.28,3.92,6.71,1.61,2.93,4.39,3.22,2.83,2.76,1.97,1.45,2.8,0.46,2.02,2.91,2.28,2.38,1.97,1.23,1.79,2.22,1.42,2.47,2.68,2.01,3.3,2.57,1.17,2.63,1.8,2.88,1.82,3.31,1.99,,,,,,,,,,,
July,,,,,,,,,,0.66,1.68,4.45,3.62,2.68,,,,3.14,2.05,2.97,5.51,1.36,5.03,2.45,3.31,0.5,2.23,1.38,5.35,3.4,2.04,1.53,1.61,2.32,3.12,2.91,1.41,1.03,0.74,1.05,2.41,2.96,1.53,3.8,2.51,1.58,0.48,2.56,2.69,2.37,,,,,,,,,,,,
August,,,,,,,,,,1.1,1.73,1.28,3.75,2.61,,,,5.48,5.6,4.84,0.57,4.26,2.6,1.44,2.5,4.66,1.32,3.02,4.11,3.07,3.86,4.36,2.86,1.61,2.97,2.97,1.02,2.97,1.94,0.2,3.99,1.87,5.88,4.7,2,5.08,1.06,2.93,4.01,1.5,,,,,,,,,,,,
September,,,,,,,,,,5.3,1.02,4.67,2.61,1.62,,,,2.48,1.96,3.66,2.26,1.95,2.54,5.32,2.01,3.88,2.53,1.98,0.48,1.63,0.69,2.31,1.87,1.4,2.27,1.04,4.25,2.04,0.92,2.18,0.79,1.66,1.27,3.6,1.91,1.35,0.67,0.56,2.19,2.94,,,,,,,,,,,,
October,,,,,,,,,,1.88,5.07,3.43,5.71,2.05,,,,3.18,4.38,1.2,5.32,2.62,5.39,2.75,1.52,3.97,4.75,1.65,1.16,2.89,1.22,6.51,2.02,2.78,3.71,2.92,3,1.28,4.98,2.72,3.03,1.97,2.58,6.97,0.52,1.64,4.69,6.61,1.99,4.27,,,,,,,,,,,,
