"SANDBACH (P.S.)",,,,,,,,,,,,
Grid ref,SJ763610,Long,-2.355788,Lat,53.145611,,,,,,,
Station no,2767/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,3.27,0.88,1.67,2.09,3.93,1.32,3.07,2.78,,,
February,2.06,1.30,1.33,2.33,2.36,0.61,1.98,3.87,0.27,,,
March,4.70,1.68,1.12,2.38,2.40,1.41,2.69,1.43,1.61,,,
April,1.87,2.81,2.91,0.46,1.90,1.46,0.38,0.70,3.40,,,
May,2.50,1.58,1.63,2.59,2.91,0.76,1.47,2.26,2.67,,,
June,0.76,2.17,2.80,3.96,2.94,2.40,1.63,5.78,1.96,,,
July,2.89,1.55,3.56,3.75,0.63,4.24,5.35,3.87,1.80,,,
August,4.18,1.17,2.84,3.95,0.82,9.75,4.34,3.76,0.64,,,
September,1.90,1.97,2.44,2.89,2.30,1.99,5.43,4.05,0.08,,,
October,1.00,3.56,2.03,6.84,1.62,1.80,2.52,3.36,1.94,,,
November,6.66,1.66,2.24,6.76,1.30,1.31,1.41,1.48,3.73,,,
December,3.79,2.93,1.11,4.19,2.97,2.54,2.06,2.97,3.99,,,
Total,34.32,25.65,24.89,41.77,24.24,32.20,30.58,36.60,24.87,,,
Calc annual,34.32,25.65,24.89,41.77,24.24,32.20,30.58,36.60,24.87,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,,
