ASHTEAD-OAKFIELD-ROAD-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ180585,Long,-0.30831077,Lat,51.313386,Elevation,179,ft.,,,,,,,,,,,,
Station no,RR8228,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.86,1.31,4.64,1.02,1.56,0.82,2.08,1.11,2.79,3.49,0.51,4.34,0.8,0.98,2.97,3.54
February,,,,,3.07,0.8,1.88,1.5,0.91,0.5,3.66,1.03,1.9,0.84,3.81,4.81,3.98,0.99,1.04,2.19
March,,,,,1.51,3.34,1.41,0.86,2.99,3.79,1.27,1.72,3.73,2.68,3.93,0.6,4.69,1.75,0.87,3.85
April,,,,,1.56,1.7,0.52,3.94,2.25,1.8,1.29,1.93,0.02,2.52,0.7,1.45,1.01,2.25,3.72,2.91
May,,,,,2.5,1.06,1.55,1.74,1.89,1.39,1.68,2.2,1.17,2.23,1.41,2.89,1.67,1.53,1.89,0.14
June,,,,,1.32,4.86,2.56,1.86,2.61,3.55,1.46,2.37,2.83,0.37,0.77,0.79,1.69,1.75,0.98,1.16
July,,,,,1,0.53,0.55,1.27,2.4,3.03,2.99,0.47,1.2,3.67,2.03,4.11,1.18,5.14,5.27,2.05
August,,,,,1.32,3.23,0.64,2.6,3.6,2.27,2.63,0.96,5.94,1.86,1.61,1.87,2.89,4.79,1.03,2.43
September,,,,,1.55,1.84,1.56,0.58,1.33,3.28,0.77,1.27,3.24,2.36,0.91,2.03,1.76,1.57,4.54,2.07
October,,,,,2.2,1.1,3.33,4.49,2.16,4.66,3.37,3.13,2.77,3.69,1.34,2.37,4.25,3.47,1.18,0.81
November,,,,,1.35,3.93,4.3,1.97,0.7,0.82,3.1,3.57,2.3,2.29,3.35,2.41,5.14,1.1,2.58,1.63
December,,,,,2.15,0.59,1.66,3.18,2.21,3.17,4.36,6.65,3.04,1.01,8.14,5.43,2.96,1.57,2.14,4.43
Total,,,,,23.39,24.29,24.6,25.01,24.61,29.08,28.66,26.41,30.93,27.01,28.51,33.1,32.02,26.89,28.21,27.21
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church and matches the Long/lat on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Both gauges assumed to be in same locations,,,,,,,,,,,,,,,,,,,,
