"GARELOCHHEAD (WHISTLEFIELD FILTERS)",,,,,,,,,,,,
Grid ref,NS237925,Long,-4.835499,Lat,56.092672,,,,,,,
Station no,5322/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.93,5.80,3.00,5.98,3.09,5.54,9.80,7.40,3.32,4.36,,
February,3.84,2.11,3.53,4.80,2.24,1.78,3.80,2.62,2.27,4.61,,
March,3.97,4.96,1.78,4.52,3.22,4.26,5.82,1.50,4.56,3.59,,
April,4.25,2.10,3.22,1.49,4.05,1.72,2.74,2.65,5.18,5.12,,
May,2.08,0.95,3.84,4.27,4.54,4.57,2.38,5.27,1.92,2.66,,
June,2.10,3.37,2.21,3.98,3.20,3.24,2.62,2.76,3.89,3.99,,
July,4.26,2.66,5.95,2.83,1.82,5.34,6.60,5.38,7.91,6.01,,
August,5.83,7.00,4.81,2.66,0.89,7.58,5.42,7.80,1.93,3.67,,
September,4.29,4.34,8.46,9.92,6.88,6.43,3.48,6.02,1.48,3.61,,
October,1.95,5.11,4.03,10.59,5.79,4.52,5.88,5.35,6.61,3.80,,
November,9.11,3.20,9.37,7.15,3.24,3.40,3.46,2.18,6.92,6.21,,
December,11.49,7.13,6.41,11.12,10.03,8.63,8.44,7.38,11.69,8.12,,
Total,61.10,48.73,56.61,69.31,48.99,57.01,60.44,56.31,57.68,55.75,,
Calc annual,61.10,48.73,56.61,69.31,48.99,57.01,60.44,56.31,57.68,55.75,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
