"STANHOPE PARSON BYERS QY",,,,,,,,,,,,
Grid ref,NY997376,Long,-2.006180,Lat,54.733379,,,,,,,
Station no,3534,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,2.83,0.62,3.38,2.49,3.21,3.40,3.53,2.88,5.08,,
February,3.22,0.35,1.43,2.27,2.33,2.10,3.45,4.21,0.22,3.14,,
March,3.87,1.68,0.58,2.19,1.51,1.29,1.69,2.84,1.33,2.20,,
April,2.69,1.71,2.94,0.54,0.30,0.99,0.14,0.89,2.58,1.46,,
May,3.77,2.03,2.92,4.82,2.12,0.56,1.79,1.40,0.76,2.12,,
June,1.08,0.81,3.92,1.84,2.12,3.35,1.09,3.21,2.39,0.59,,
July,1.28,0.79,1.88,1.39,1.11,2.56,2.85,3.01,1.05,4.16,,
August,4.18,3.26,3.63,6.40,0.96,7.71,4.44,3.36,0.89,2.64,,
September,1.57,3.73,2.47,3.57,1.11,3.86,3.44,2.88,1.04,2.23,,
October,0.83,5.66,2.06,5.79,1.99,2.01,2.33,2.78,2.45,9.59,,
November,8.78,3.03,2.38,6.24,2.15,0.80,2.21,0.40,5.49,4.48,,
December,5.16,3.10,1.16,3.53,4.40,4.46,2.72,5.01,5.70,2.94,,
Total,38.42,28.98,25.99,41.96,22.59,32.90,29.55,33.52,26.78,40.63,,
Calc annual,38.42,28.98,25.99,41.96,22.59,32.90,29.55,33.52,26.78,40.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
