STANHOPE PARSON BYERS QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY999375,Long,-2.003074,Lat,54.73248,Elevation,846,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.48,0.41,3.34,0.88,1.92,2.26,4.41,2.04,3.9,5.3,2.3,2.26,2.22,4.62,,3.51,3.18,4.76,3.91,1.4,2.83,3.24,4.99,3.09,4.85,1.68,4.68,2.66,3.06,1.83,1.8,1.51,5,3.48,4.35,6.45,1.68,4.45,2.68,4.16,2.85,5.4,3.05,3.43,10.03,1.41,2.08,1.99,2.83,0.62,3.38,2.49,3.21,3.4,3.53,2.88,5.08
February,,,,,2.16,0.9,1.41,1.72,1.74,1.52,3.73,1.8,3.47,1.82,3.01,5.75,4.14,0.61,,1.89,1.54,0.12,2.84,5.04,0.78,3.91,2.84,1.53,2.03,1.25,2.5,4.2,1.04,,0.02,5.7,2.43,2.29,1.5,2.32,2.4,3.9,1.42,1.93,2.47,2.93,1.36,,2.11,2.53,5.15,3.22,0.35,1.43,2.27,2.33,2.1,3.45,4.21,0.22,3.14
March,,,,,2.53,2.56,1.12,1.28,5.55,5.99,1.48,2.67,2.73,6.39,2.2,1.24,3.41,1.75,,3.74,2.94,1.54,1.85,1.52,0.95,2.15,0.91,3.23,3.99,0.01,1.9,2.07,1.62,0.85,4.25,0.62,2.54,1.84,0.87,4.35,3.12,2.62,1.41,1.28,0.5,0.86,1.72,5.87,2.26,0.82,1.2,3.87,1.68,0.58,2.19,1.51,1.29,1.69,2.84,1.33,2.2
April,,,,1.35,1.62,3.7,0.8,1.58,3.17,2.05,2.64,1.6,0.06,4.42,0.9,0.85,1.23,2.45,,1.49,4.7,0.96,2.53,1.64,1.01,3.9,2.88,2.86,0.66,1.32,2.99,3.85,3.92,1.35,6.01,3.9,1.13,1.44,0.36,1.66,2.19,1.5,1.66,2.41,1.58,2.83,0.86,7.44,1.89,2.3,2.45,2.69,1.71,2.94,0.54,0.3,0.99,0.14,0.89,2.58,1.46
May,,,,2.96,2.89,0.41,3.55,3.84,2.35,1.36,1.78,1.6,2.54,2.49,1.09,1.96,3.83,2.87,,1.26,4.11,1.51,0.65,2.51,5.87,3.88,1.89,1.96,1.94,1.15,1.81,4.2,4.18,2.66,1.73,0.5,1.89,2.69,2.8,1.57,0.79,1.64,2,3.34,1.89,3.23,2.58,2.33,2.25,0.98,1.69,3.77,2.03,2.92,4.82,2.12,0.56,1.79,1.4,0.76,2.12
June,,,,1.51,1.73,1.03,0.81,3.06,0.62,2.91,1.11,4.23,5.61,1.44,3.65,0.53,3.09,1.55,,1.2,1.05,0.41,1.07,0.87,1.72,0.11,4.07,2.55,4.62,1.57,1.57,4.57,1.05,1.29,2.15,1.57,2.77,0.88,2.88,2.34,0.48,0.3,1.11,1.82,1.84,2.94,1.31,3.6,5.17,1.02,0.98,1.08,0.81,3.92,1.84,2.12,3.35,1.09,3.21,2.39,0.59
July,,,,4.19,1.46,0.47,1.23,1.6,1.99,2.35,3.71,0.23,4.17,1.43,1.8,4.55,3.77,0.51,,2.06,3.42,1.57,4.83,2.04,4,2.29,3.29,4.73,1.79,3.08,6.37,3.77,2.79,1.34,2.64,0.61,3.07,1.27,2.67,4.08,4.62,1.93,2.64,1.61,2.7,1.71,3.11,2.32,0.78,2.28,3.69,1.28,0.79,1.88,1.39,1.11,2.56,2.85,3.01,1.05,4.16
August,,,,2.7,2.65,3.95,2.64,1.53,2.33,2.96,4.3,2.61,6.11,1.65,2.59,3.25,2.31,9.4,,2.6,1.34,4.63,1.91,4.79,2.14,2.84,3.15,7.03,5.3,2.62,4.99,3.8,1.99,,2.52,1.05,1.42,1.84,3,4.59,0.88,2.23,3.08,4.51,1.51,3.63,3.46,0.17,4.52,1.77,4.53,4.18,3.26,3.63,6.4,0.96,7.71,4.44,3.36,0.89,2.64
September,,,,3.3,0.78,2.62,0.45,0.3,2.63,1.98,0.32,2.39,2.9,4.3,1.64,0.78,1.97,0.58,,0.79,1.83,0.95,4.25,2.41,3.73,3.52,4.39,5.65,0.86,1.32,5.27,3.18,2.37,4.21,1.54,4.36,3.36,2.23,1.32,1.36,1.64,0.13,3,3,5.85,1.58,4.75,2.19,2.61,2.92,4.94,1.57,3.73,2.47,3.57,1.11,3.86,3.44,2.88,1.04,2.23
October,,,,9.94,0.68,1.83,5.42,6.38,3.02,3.3,2.86,3.64,3.16,2.96,2.42,1.42,5.37,3.24,,5.65,2.44,2.13,1.34,3,5.01,3.54,3.47,3.61,5.42,2.99,3.3,1.33,5.48,5.42,4.33,4.07,2.52,2.53,6.26,7.77,4.03,4.92,2.33,2.48,5.24,4.39,0.81,0.87,1.65,3.82,1.82,0.83,5.66,2.06,5.79,1.99,2.01,2.33,2.78,2.45,9.59
November,,,,1.33,2.4,6.22,3.14,2.26,1.62,0.7,3.42,5.01,2.04,2.2,4.94,2.35,4.64,1.43,,3.53,1.86,1.91,0.85,3.94,1.46,2.6,5.98,3.25,5.09,4.25,4.53,3.71,1.41,5.09,2.65,3.75,3.4,1.07,4.13,3.85,4.9,3.35,0.84,3.02,7.55,0.69,6.63,2.86,1.74,5.34,7,8.78,3.03,2.38,6.24,2.15,0.8,2.21,0.4,5.49,4.48
December,,,,2.58,1.86,0.64,2.21,4.38,1.18,3.15,3.47,5.01,3.25,1.82,8.09,6.88,3.31,2.46,,3.28,3.78,2.37,4.56,3.18,4.35,3.93,1.27,2.13,1.87,6.51,4.18,1.75,2.8,0.99,4.29,1.37,2.62,5.24,4.35,1.59,3.1,1.1,2.98,1.78,2.8,1.72,2.94,2.19,3.44,5.37,1.46,5.16,3.1,1.16,3.53,4.4,4.46,2.72,5.01,5.7,2.94
Total,,,,,24.24,24.74,26.12,28.81,28.12,30.53,33.23,32.83,39.94,36.22,34.63,31.82,39.29,31.47,,31,32.19,22.86,30.59,32.34,33.85,35.91,39.13,41.62,38.42,27.75,44.09,39.09,31.71,,33.93,29.01,32.15,26.8,34.49,41.93,29.83,28.07,25.15,31.34,36.78,31.91,32.58,,38.45,30.56,36.99,38.42,28.98,25.99,41.96,22.59,32.9,29.55,33.52,26.78,40.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Feb and Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
