"HESLEYSIDE, NORTHUMBERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY816837,Long,-2.2902314,Lat,55.147298,Elevation,373,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,7.45,,1.85,6.75,3.6,4.96,4.14,3.9,2.06,3.67,5.05,3.86,5.46,2.47,6.48,4.7,0.78,1.09,1.15,,,,,,,,
February,,,,2.17,,2.55,6.06,3.16,6.33,9.62,1,3.02,3,2.05,1.53,1.05,3.68,2.98,1.48,2.43,2.16,3.07,,,,,,,,
March,,,,1.23,,1.91,2.48,2.54,4.86,1.9,0.65,0.97,3.04,1.96,3.18,1.65,3.9,3.89,1.23,3.05,1.93,3.6,,,,,,,,
April,,,,3.51,,1.22,4.12,3.9,4.49,2.68,2.18,3.98,3.52,0.81,2.07,1.08,3.13,4.16,2.33,1.86,2.78,1.09,,,,,,,,
May,,,,3.29,,2.99,1.79,2.93,2.79,4.51,3.23,1.42,2.72,1.83,2.09,1.18,1.26,2.2,5.3,2.03,1.5,3.03,,,,,,,,
June,,,,4.85,,0.57,2.42,2.59,0.29,2.6,3.96,2,3.09,1.53,0.65,2.26,3.64,2.39,3.02,4.32,2.43,2.51,,,,,,,,
July,,,,0.69,,6.13,4.02,5.38,0.12,1.24,1.09,4.69,6.01,2.94,2.21,3.68,1.09,3.51,1.68,4.6,6.29,4,,,,,,,,
August,,,,4.17,,4.38,4.69,2.78,4.01,1.78,1.7,2.07,3.65,3.96,4.7,2.64,2.21,8.52,5.2,4.21,1.59,6.02,,,,,,,,
September,,,,7.74,,0.75,7.99,3.46,4.5,7.42,2.36,2.53,5.56,2.46,3.15,3.6,4.01,1.88,3.24,1.67,4.11,3.25,,,,,,,,
October,,,,4.5,,8.7,2,3.06,3.87,2.95,8.11,3.85,6.43,4.43,5.65,3,2.66,5.06,3.35,1.41,4.33,4.29,,,,,,,,
November,,,,3.55,,4.73,5.97,0.36,3.64,5.27,1.53,1.66,6.86,3.2,3.79,4.88,3.53,4.68,5.69,2.43,5.25,4.53,,,,,,,,
December,,,,3.52,,3.27,5.9,3.83,9.95,5.41,2.28,4.21,6.21,1.59,3.24,3.17,9.05,2.58,2.52,2.26,3.57,5.22,,,,,,,,
Total,,,,46.67,,39.05,54.19,37.59,49.81,49.52,31.99,32.46,53.76,31.81,36.12,33.65,40.63,48.33,39.74,31.05,37.03,41.76,,,,,,,,
