KINGTON (THE OVALS),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO324562,Long,-2.9905093,Lat,52.199868,Elevation,700,ft,,,,,,,,,,,,,
Station no,2244,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.76,,,,,,,5.43,1.15,5.28,2.25,,,,,,,,,
February,1.44,0.17,,,,,,,2.74,0.88,0.64,2.34,,,,,,,,,
March,,2.34,,,,,,,3.11,0.16,2.91,0.65,,,,,,,,,
April,,0.68,,,,,,,1.74,1.2,3.1,3.24,,,,,,,,,
May,,1.03,,,,,,,1.03,2.79,1.89,4.67,,,,,,,,,
June,,0.26,,,,,,,3.54,3.11,1.53,4.5,,,,,,,,,
July,,0.68,,,,,,,1.38,2.11,3.45,3.35,,,,,,,,,
August,1.18,3.21,,,,,,,3.09,1.38,2.38,5.03,,,,,,,,,
September,,1.11,,,,,,,1.53,1.34,3.94,1.79,,,,,,,,,
October,,2.04,,,,,,,5.56,4.41,3.38,0.7,,,,,,,,,
November,1.34,2.49,,,,,,,4.51,7.84,3.35,7,,,,,,,,,
December,,1.92,,,,,,,2.8,7.56,4.49,1.19,,,,,,,,,
Total,,18.69,,,,,,,36.46,33.93,36.34,36.71,,,,,,,,,
