WOOLER ST. NINIANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT990283,Long,-2.017407,Lat,55.548403,Elevation,176,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,0.99,1.37,1.69,2.77,4.79,1,2.19,0.57,2.75,3.8,1.88,1.54,3.79,2.25,0.87,2.19,0.77,2.1,2.01,2.91,2,3.65,4.24,1.93,2.95,2.28,3.94,2.79,3.98,2.78,4.84,3.79,1.8,1.88,2.44,3.43,,,,
February,,0.04,2.47,3.63,5.13,1.61,0.77,0.83,1.98,1.4,6.97,2.8,1.63,2.99,2.58,1.31,1.42,1.57,1.86,2.83,3.24,1.28,2.45,1.25,2.79,5.44,3.95,1.13,1.32,2.67,2.17,0.41,2.42,5.39,0.96,4.65,3.8,,,,
March,,-999,2.94,0.16,1.14,2.7,2.3,3.65,2.7,2.4,2.47,2.45,1.5,1.08,1.81,1.98,1.78,1.33,4.6,7.79,0.73,2.87,2.61,4.3,3.64,2.24,7.21,1.99,0.77,3.14,4.06,1.96,1.71,1.83,0.68,2.32,,,,,
April,0.77,-999,0.89,0.8,1.16,1.23,0.8,1.45,3.09,2.68,2.32,1.66,1.86,1.42,1.6,3.18,1.06,2.79,2.33,3.32,2.05,1.64,0.21,2.71,0.67,0.78,2,3.57,0.94,2.36,2.6,0.67,2.23,2.71,1.47,3,2.23,,,,
May,1.9,1.4,3.6,1.15,2.66,1,1.13,0.99,1.83,1.48,1.17,3.7,4.28,1.28,2.72,0.95,8.16,3.8,1.63,1.62,1.85,0.71,1.93,4.05,1.71,1.44,3.49,2.23,2.25,0.66,3.72,1.46,0.89,3.06,4.59,3.35,2,,,,
June,3.33,0.3,3.67,2.5,2.13,1.62,1.78,2.81,1.49,1.16,3.8,1.23,2.63,2.13,1.94,0.53,1.62,3.48,0.73,2.31,1.59,5.81,5.37,1.45,4.64,1.11,3.16,0,0.47,0.94,0.65,0.71,1.1,0.99,2.4,0.27,3,,,,
July,2.06,2.93,1.45,3,2.04,5.15,2.71,4.43,1.16,2.21,1.43,3.79,1.84,5.22,1.21,0.99,1.69,2.45,1.88,2.27,2.35,0.81,2.35,0.81,1.78,4.45,4.93,0.91,4.14,0.98,3.86,2.83,5.69,1.71,4.13,1.41,4.35,,,,
August,4.63,4.95,4.3,2.1,3.96,3.93,2.16,3.69,1.86,1.6,4.95,2.8,1.25,2.89,2.56,2.82,3.97,1.94,1.71,1.82,3.73,1.25,5.57,1.75,2.02,4.2,4.52,6.79,1.51,1.99,4.2,6.15,1.85,4.05,2.54,2,2,,,,
September,1.8,4.1,2.45,1.75,1.34,0.21,4.47,2.51,1.07,4,1.09,0.98,1.38,2.93,0.71,2.74,0.37,0.33,1.7,2.62,0.93,1.53,3.16,1.91,0.88,2.7,2.98,1.6,5.11,1.16,2.14,1.41,3.59,2.02,3,4.32,3.22,,,,
October,2.47,,5.75,1.05,5.25,7.23,7.81,1.56,6.08,1.54,5.76,1.53,1.71,8.13,0.78,3.83,7.34,7.96,2.83,3.33,2.99,3.8,3.75,1.79,2.3,2.39,3.44,4.84,4.1,3.94,2.22,3.55,3.42,2.66,4.73,1.21,3.2,,,,
November,,5.35,1.5,3.22,1.34,3.56,2.08,2.76,3.64,2.88,4.67,3.67,2.22,2.68,2.8,6.57,3.12,2.27,1.36,1.23,4.43,4.64,2.43,1.72,4.88,2.76,6.19,2.48,1.57,6.75,1.78,2.15,1.22,4.99,1.35,2.38,4.48,,,,
December,,4.4,1.4,1.82,1.85,2.49,6.25,3.38,2.13,3.3,2.58,4.9,3.88,2.63,1.99,0.68,2.38,3.43,0.95,3.59,2.76,5.49,1.81,1.99,6.5,6.13,3.71,2.05,2.22,5.8,4.91,1.87,3.6,3.37,2.7,3.42,0.6,,,,
Total,,30.14,31.79,22.87,30.77,35.52,33.26,30.25,27.6,27.4,41.01,31.39,25.72,37.17,22.95,26.45,35.1,32.12,23.68,34.74,29.56,31.83,35.29,27.97,33.74,36.59,47.86,31.53,27.19,34.37,35.09,28.01,31.51,34.58,30.43,30.77,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Nov/Dec  bracketed together and estimated; total removed too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Jan-Feb-Mar bracketed and estimated. Records starts formally (#) April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 March-April bracketed therefore both -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926 March estimated, removed and likewise annual total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
