BOLSTERSTONE MORE HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK271968,Long,-1.5932455,Lat,53.467247,Elevation,500,ft,,,,,,,,,,,,
Station no,RR2984,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.24,4.64,2.35,1.71,3.13,1.42,5.4,2.9,1.09,1.14,0.37,,,,,,,,
February,,1.85,2.52,0.81,1.26,1.25,3.33,3.62,1.03,2.63,2.97,3.69,,,,,,,,
March,,1.27,2.43,2.77,2.43,0.91,4.89,3.03,1.29,1.81,2.48,3.38,,,,,,,,
April,,2.92,4.44,0.77,2.34,0.88,2.2,3.09,2.07,3.13,2.45,0.76,,,,,,,,
May,,1.52,2.27,2.06,1.1,1.49,0.98,3.35,3.94,2.69,2.62,2.36,,,,,,,,
June,,4.59,5.02,2.48,0.48,4.38,2.98,2.64,2.27,3.63,3.94,1.53,,,,,,,,
July,,2.43,8.61,2.39,1.11,4.56,1.15,2.05,1.23,4.24,5.15,1.17,,,,,,,,
August,,2.05,2.63,1.86,2.93,4.06,2.02,4.84,6.53,4.07,2.09,,,,,,,,,
September,,6.74,4.4,2.5,1.91,3.08,4.19,3.69,3.02,2.63,5.01,,,,,,,,,
October,,3.14,5.86,2.25,4,6.62,3.33,3.35,3.07,1.76,8.26,,,,,,,,,
November,,1.3,4.28,3.39,2.94,4.76,3.92,3.67,2.76,2.03,2.63,,,,,,,,,
December,,1.36,3.78,0.36,2.63,1.45,7.86,3.56,1.47,1.27,3.53,,,,,,,,,
Total,,30.41,50.88,23.99,24.84,36.57,38.27,42.29,31.58,30.98,42.27,,,,,,,,,
