BRETHERTON (BANK HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD462202,Long,-2.815892,Lat,53.675484,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3006/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.76,4.68,2.75,1.32,4.21,4.17,3.95,2.47,4.07,2.56,6.32,1.99,1.7,3.63,3.47,,,,,,,,
February,,,,,,,,1.14,2.55,2.24,3.58,1.44,2.05,1.22,3.65,4.54,0.91,1.77,1.66,3.83,2.49,1.1,,,,,,,,
March,,,,,,,,0.89,1.72,2.32,2.8,2.47,0.4,0.95,1.19,0.58,4.36,1.74,2.07,1.36,4.21,1.94,,,,,,,,
April,,,,,,,,0.24,2.5,2.39,1.01,1.46,1.97,2.18,1.8,1.03,3.25,1.91,3.29,2.7,2.03,2.94,,,,,,,,
May,,,,,,,,3.36,1.1,1.61,2.25,3.16,3.46,2.66,3.35,1.3,3.11,1.32,2.98,0.96,2.74,2.76,,,,,,,,
June,,,,,,,,3.92,4.39,0.97,0.28,0.59,2.66,2.99,3.81,2.44,2.27,4.03,0.8,1.91,1.55,2.49,,,,,,,,
July,,,,,,,,3.49,5.83,4.55,2.07,4.06,3.6,3.52,2.29,4.8,3.26,2.43,2.86,3.6,1.82,2.03,,,,,,,,
August,,,,,,,,3.33,2.4,1.49,4.71,3.66,4.82,3.26,2.98,5.36,0.29,4.72,2.55,8.49,4.58,3.4,,,,,,,,
September,,,,,,,,1.57,0.73,3.61,1.27,3.12,3.84,5.78,2.32,6.88,3.34,3.07,1.25,6.26,3.32,4.42,,,,,,,,
October,,,,,,,,7.11,,3.88,4.21,4.14,4.36,3.57,5.07,0.52,0.52,2.04,4.67,3.08,1.1,3.5,,,,,,,,
November,,,,,,,,5.05,5.82,5.66,2.11,0.94,3.55,6.75,0.24,4.94,3.68,2.33,4.64,5.09,7.8,2.38,,,,,,,,
December,,,,,,,,3.73,2.71,3.04,1.33,3.34,2.03,2.94,2.69,3.89,2.89,3.26,4.91,3.2,8.17,3.37,,,,,,,,
Total,,,,,,,,37.59,,34.51,26.94,32.59,36.91,39.77,31.86,40.35,30.44,34.94,33.67,42.18,43.44,33.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Oct 1.8 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
