"BRETHERTON (BANK HALL)",,,,,,,,,,,,
Grid ref,SD462202,Long,-2.815892,Lat,53.675484,,,,,,,
Station no,3006/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.63,3.47,,,,,,,,,,
February,2.49,1.10,,,,,,,,,,
March,4.21,1.94,,,,,,,,,,
April,2.03,2.94,,,,,,,,,,
May,2.74,2.76,,,,,,,,,,
June,1.55,2.49,,,,,,,,,,
July,1.82,2.03,,,,,,,,,,
August,4.58,3.40,,,,,,,,,,
September,3.32,4.42,,,,,,,,,,
October,1.10,3.50,,,,,,,,,,
November,7.80,2.38,,,,,,,,,,
December,8.17,3.37,,,,,,,,,,
Total,43.44,33.80,,,,,,,,,,
Calc annual,43.44,33.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
