MASHAM MOOR - SPRUCE GILL,,,,,,,,,,,,
Grid ref,SE116792,Long,-1.824,Lat,54.208,Elevation,1187,ft,,,,
Station no,RR4565,,,,,,,,,,,
,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,0.96,2.84,2.40,6.77,2.61,5.96,7.38,3.92,6.77,4.47,2.39,3.33
February,3.21,3.24,1.43,4.79,4.75,5.19,2.69,4.51,6.49,6.19,1.91,5.94
March,3.94,4.84,4.27,1.16,2.49,4.98,7.56,3.72,1.14,4.64,1.89,2.31
April,1.53,1.82,3.82,3.77,1.90,0.49,4.53,1.65,2.01,2.37,3.39,1.34
May,4.49,3.58,2.79,2.92,1.95,2.93,2.65,2.46,1.68,3.50,2.53,3.38
June,6.71,2.33,3.57,1.87,3.09,7.15,1.98,3.92,1.04,2.91,2.64,1.07
July,2.11,3.43,2.88,3.16,0.49,4.86,1.61,2.39,5.72,2.38,2.07,5.78
August,3.01,2.46,4.74,4.75,3.12,6.72,1.26,2.28,5.87,3.15,9.45,3.28
September,0.38,5.46,1.87,0.77,2.86,2.22,2.12,1.80,0.67,2.99,1.73,10.16
October,6.19,1.57,5.96,5.70,4.66,4.11,3.43,2.54,1.67,9.55,6.40,4.30
November,4.87,4.59,1.10,3.79,6.62,3.27,4.27,7.64,2.53,5.23,3.18,3.03
December,5.32,2.00,3.80,5.16,6.88,5.67,2.17,9.87,9.39,3.87,2.21,6.56
Total,42.72,38.16,38.63,44.61,41.42,53.55,41.65,46.70,44.98,51.25,39.79,50.48
,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/147,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/249,,,,,,,,,,,,
