"MASHAM MOOR SPRUCE GILL",,,,,,,,,,,,
Grid ref,SE138806,Long,-1.789855,Lat,54.220941,,,,,,,
Station no,RR4565,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.96,2.84,2.40,,
February,,,,,,,,3.21,3.24,1.43,,
March,,,,,,,,3.94,4.84,4.27,,
April,,,,,,,,1.53,1.82,3.82,,
May,,,,,,,,4.49,3.58,2.79,,
June,,,,,,,,6.71,2.33,3.57,,
July,,,,,,,,2.11,3.43,2.88,,
August,,,,,,,,3.01,2.46,4.74,,
September,,,,,,,,0.38,5.46,1.87,,
October,,,,,,,,6.19,1.57,5.96,,
November,,,,,,,,4.87,4.59,1.10,,
December,,,,,,,,5.32,2.00,3.80,,
Total,,,,,,,,42.72,38.16,38.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.72,38.16,38.63,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
