"NAIRN (ACHAREIDH)",,,,,,,,,,,,
Grid ref,NH868565,Long,-3.894958,Lat,57.584305,,,,,,,
Station no,5688,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.26,1.73,1.05,1.35,1.24,1.37,2.28,2.54,2.26,2.73,,
February,1.92,1.06,1.42,0.94,1.92,1.40,1.52,2.72,0.54,1.64,,
March,1.44,1.38,0.91,1.14,0.79,0.74,3.31,0.87,1.25,0.73,,
April,3.40,0.67,2.06,0.86,1.07,1.95,0.56,1.51,2.69,1.30,,
May,0.59,1.37,3.07,3.29,2.06,1.02,0.83,2.66,0.58,0.31,,
June,1.67,1.64,2.55,2.18,1.03,2.39,1.99,2.28,2.08,3.09,,
July,2.94,1.74,4.05,3.00,0.59,4.66,5.23,2.73,2.45,2.20,,
August,4.07,3.55,2.73,2.22,0.40,4.40,4.55,4.09,0.99,6.41,,
September,0.63,1.50,2.07,2.16,1.67,2.95,1.29,2.58,0.65,2.27,,
October,1.34,1.58,0.80,5.47,3.62,2.73,1.53,1.99,2.79,2.06,,
November,3.58,2.55,2.27,1.71,0.55,1.45,1.56,0.97,2.78,1.76,,
December,2.98,2.01,2.14,3.64,4.51,2.62,2.55,1.71,1.41,1.33,,
Total,26.82,20.78,25.12,27.96,19.45,27.68,27.20,26.65,20.47,25.83,,
Calc annual,26.82,20.78,25.12,27.96,19.45,27.68,27.20,26.65,20.47,25.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
