"DITCHEAT",,,,,,,,,,,,
Grid ref,ST622365,Long,-2.541530,Lat,51.126524,,,,,,,
Station no,2001,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.94,1.47,,,
February,,,,,,,,1.62,,,,
March,,,,,,,,0.89,,,,
April,,,,,,,,4.68,2.67,,,
May,,,,,,,,2.28,,,,
June,,,,,,,,,,,,
July,,,,,,,,2.52,,,,
August,,,,,,,,2.87,,,,
September,,,,,,,0.82,0.68,,,,
October,,,,,,,,5.82,,,,
November,,,,,,,,3.21,,,,
December,,,,,,,,4.60,3.07,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.82,30.11,7.21,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
