MILFIELD NR WOOLER (Milfieldhill buildings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT928343,Long,-2.1147,Lat,55.6026,Elevation,215,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,0.73,2.23,2.7,3.33,3.14,2.44,1.31,0.52,2.95,2.94,1.45,2.29,1.31,3.93,3.21,0.43,0.09,1.05,0.58,1.17,2.51,1.45,1.33,2.05,1.5,0.8,1.56,1.22,1.08,1.5,1.77,3.4,0.91,1.98,,
February,,,,,3.2,1.39,3.71,0.51,1.82,0.94,3.3,3.02,2.96,1.69,1.46,0.68,3.31,1.71,0.72,2.43,2.13,2.04,1.04,1.35,1.71,0.78,,0.22,1.42,1.5,1.69,0.09,2.31,3.19,3.9,1.55,0.95,0.49,,
March,,,,,2.53,1.18,3.35,2.51,2.27,1.66,0.93,1.39,3.13,1.35,1.1,1.7,2.51,3.59,1.28,1.64,1,2.38,1.81,2.29,1.97,1.07,,1.95,3.4,2.82,2.1,3.99,1.55,0.23,0.85,2.65,1.65,3.27,,
April,,,,,1.31,0.87,1.54,2.27,3.53,1.23,0.95,4.04,4.13,0.35,1.26,0.94,3.85,2.88,1.68,2.15,2.23,1.46,2.29,1.35,0.92,2.61,,1.27,2.38,2.11,0.71,1.33,0.78,0.86,1.42,0.98,0.1,1.36,,
May,,,,,3.04,4.69,1.05,1.61,1.1,2.78,1.1,1.12,3.49,1.85,1.68,1.33,0.8,2.83,2.06,2.01,1.44,2.41,2.3,1.98,1.3,3.67,,1.83,0.86,1.4,1.65,1.44,2.46,1.31,2.64,0.67,0.98,1.03,,
June,,,,,1.48,0.42,1.22,2.26,0.42,2.23,2.22,2.82,1.99,1.08,1.11,2.26,2.33,1.78,1.8,3.98,2.05,1.48,4.13,2.79,1.05,0.69,,0.35,1.49,0.5,3.16,1.06,3.32,2.65,1.52,2.29,1.17,2.5,,
July,,,,,1.31,2.19,6.06,8.16,0.65,0.82,0.8,2.8,3.34,2.92,2.68,1.92,1.07,4.06,0.96,6.13,3.43,3.83,2.05,5.77,3.7,1.22,3.11,2,4.2,4.13,2.79,2.81,1.64,3.15,2.34,3.2,2.85,2.6,,
August,,,,,0.87,3.64,3.56,1.56,2.7,1.28,1.43,1.47,3.18,3.46,2.92,1.53,3.08,8.38,6.12,2.44,0.82,5.61,1.92,2.66,0.49,2.2,0.75,2.08,1.5,5.34,4.57,3.35,3.87,1.62,3.89,4.75,3.57,1.88,,
September,,,,,2.63,0.52,2.62,1.58,4.17,3.89,0.94,4,7.23,1.8,1.83,2.72,3.14,1.94,2.16,0.57,4.72,4.34,1.21,3.44,2.73,2.02,1.45,1.44,1.9,1.82,1.18,4.1,1.79,1.76,1.27,0.13,4.06,1.15,,
October,,,,,7.42,8.22,1,1.14,1.68,2.1,3.62,2.32,5.46,4.43,2.01,3.98,1.68,3.65,1.88,0.62,4.02,2.24,3.79,2.81,1.54,2.8,4.01,2.02,0.7,4.44,2.33,1.36,5.74,1.11,4.51,6.57,6.3,1.21,,
November,,,,,2.7,1.94,3.16,0.3,2.39,1.69,2.65,3.65,5.59,1.38,4.4,4.46,2.36,1.47,7.29,1.8,3.65,3.02,2.25,1.27,2.1,0.86,3.7,3.67,6.48,0.73,4.35,2.3,1.19,4.23,0.47,2.5,1.72,2.87,,
December,,,,,2.91,1.36,2.21,3.22,3.64,2.28,4.59,1.98,4.77,1.53,3.38,2.51,8.62,1.33,2.35,1.53,3.12,1.7,4.62,1.29,1.98,0.81,3.25,3.15,0.8,1.28,2.49,3.83,1.34,1.4,1.35,1.83,5.02,2.25,,
Total,,,,,30.13,28.65,32.18,28.45,27.51,23.34,23.84,29.13,48.22,24.78,25.28,26.32,34.06,37.55,31.51,25.73,28.7,31.56,27.99,28.17,22,20.18,,22.03,26.63,26.87,28.58,26.88,27.07,23.01,25.93,30.52,29.28,22.59,,
